experiment_id,campaign_partition,target_sbox,target_sbox_index,key_id,session_id,fault_model,timing_offset_samples,width_samples,strength,repeat,repeat_spacing_samples,plaintext_hex,healthy_ciphertext_hex,response_received,faulty_ciphertext_hex,ciphertext_equal,ciphertext_hamming_distance
19751,attack,S0,0,23,3,random_nibble,-2.826315464156923,4.163577926222076,0.7670723450332995,1,2.863977339979954,440c68456694fb3a,4f71ca0a59e08320,True,4f71ca0a59e08320,True,0
19754,attack,S0,0,22,5,random_and_4,-2.501462795215525,2.149047604169584,0.8546034344381355,1,1.8648731438968955,8bd0d8b0e7f412a2,c0427826a840d345,True,c0427826a840d345,True,0
19755,attack,S5,5,22,2,random_and_4,-19.58378770552889,1.5115662763244555,0.3536639349565492,1,1.1825282224163098,287d076aa5839fc2,a8feb84ea9e15de7,True,a8feb84ea9e15d57,False,3
19757,attack,S5,5,23,2,random_and_4,-2.95697140496382,2.696827336677708,0.6646353066551318,1,3.511265436799728,04c620f72609962b,b3f81c77defefc59,True,b3f81c77defefc59,True,0
19759,attack,S0,0,23,5,random_and_4,-1.2638730433684366,0.8941568708181455,0.7789751688200697,1,2.7970418887768758,55606507a934f991,f9046e10bd4ae42a,True,f9046e10bd4aea2a,False,3
19761,attack,S0,0,22,2,random_and_4,-7.4962432480846655,2.482563257895076,0.4446363791199097,1,3.4333644353764137,67cfee88eb5a10fb,59323c706c463f30,True,59323c706c463f30,True,0
19762,attack,S5,5,23,4,random_and_4,-2.8506038548113235,1.9010702641892028,0.8460505773059857,1,1.588376056465315,50d67b7c97b7c495,9c45314d1cd655a1,True,9c45314d1cdb55a1,False,3
19763,attack,S0,0,23,0,random_and_4,-1.5376160270276067,4.10793717918069,0.8909795725280703,2,4.154712173898583,2ff8985308c0b290,275fd53b082eb37a,True,275fd53b082eb37a,True,0
19764,attack,S0,0,23,1,random_and_4,2.901574415576665,2.819445370551888,0.8630549316703733,1,3.6827935187430674,d0151b84b933edb5,b397860ab4b75762,True,b397860ab4b75e62,False,2
19765,attack,S0,0,22,7,random_and_4,0.6360003632803757,2.689260017323206,0.8843573742895412,1,3.474542182432174,3e9f3865586f2a18,1b79646ba571de44,True,1b79646ba571d444,False,2
19770,attack,S0,0,23,7,random_and_4,-0.407573853342237,2.4508467093200355,0.5738453611176983,1,4.379137795936897,aef6de274f8ba38d,e60c17649d4c3c20,True,e60c17649d4c3d20,False,1
19778,attack,S0,0,23,1,random_and_4,-22.66226926224575,1.3483700596416497,0.1060763762165624,1,1.1861217716313013,032289ff12fdae1b,31f23e83ec5b67f5,True,31f23e83ec5b67f5,True,0
19783,attack,S0,0,22,2,random_and_2,5.197236352204323,14.079377263796877,1.2717742991465206,1,6.212786664068277,d13980dfda6340b2,8adaf3505752fa2c,False,,,-1
19785,attack,S0,0,23,6,random_and_4,-3.2362358700239997,2.53778914270736,0.537376601711315,2,2.8005001517376917,d73c829ea627043c,5a27fe6f5e5f4c9c,True,5a27fe6f5e5f4c9c,True,0
19792,attack,S0,0,22,6,random_and_4,-1.7292863059620451,3.138346946513753,0.4777401776010356,1,6.055301578221397,f384bf347c91c202,cdb34b63ead4bcc7,True,cdb34b63ead4bcc7,True,0
19797,attack,S5,5,23,1,random_and_4,3.032341893098114,1.8075687418902209,0.5999114564873287,1,3.272827596507215,7f1f3564cf6a2f81,3eb5f2003723f8a3,True,3eb5f2003720f8a3,False,2
19802,attack,S0,0,22,0,random_and_4,2.340266517489296,4.5944635943681655,0.5095052354902985,1,2.4414684453138484,92296f9dce1e76f9,6d52c1fd4c0d15e8,True,6d52c1fd4c0d15e8,True,0
19803,attack,S5,5,22,4,random_and_4,0.7796563279342563,3.86368441773255,0.7701614408028685,1,3.705646620238313,fc8f3e7323dc95d5,74a0122cae8ef2bf,True,74a0122cae80f2bf,False,3
19815,attack,S5,5,22,4,random_and_4,23.61258006641229,2.0680268905984094,0.3077592248239523,1,2.220875712682147,ea0066ee5ff29ce0,4794dba73a79d95c,True,4794dba73a79d95c,True,0
19817,attack,S5,5,22,7,random_and_4,-2.11128497827731,0.975289879816353,0.5394361237740612,1,1.765106413055537,833ead568304c815,37cd579750466e23,True,37cd579750416e23,False,3
19823,attack,S0,0,22,0,random_and_4,1.2080952114617696,3.257309985253597,0.4661036790630684,1,3.0329876602828447,7dea833cd37b42b9,2ee0c3180bc694de,True,2ee0c3180bc694de,True,0
19828,attack,S5,5,23,5,random_and_4,2.348450445857317,10.349357870234105,1.6514603801531138,4,7.305363060596695,922a33b3fe674104,f2f8e872cee396bf,False,,,-1
19839,attack,S0,0,22,2,random_and_4,-1.0619083950235524,1.505368333198274,0.4647712687537131,1,2.0517487578950124,6868f0f4ac12cf39,98ec5e1a1b48fa78,True,98ec5e1a1b48f378,False,2
19843,attack,S0,0,22,6,random_and_4,6.804321499347763,3.322595337530197,0.2761442991978331,2,4.0383197716514125,7e6e5acc14c4e9da,b5aa732bf569d388,True,b5aa732bf569d38d,False,2
19844,attack,S5,5,23,1,stuck_at_bit,-6.108623797820885,5.03084601600446,0.956705905334482,1,3.3500155874901347,5776be9100f99727,9912f54189c1a6b9,True,9912f54180a1a6b9,False,4
19845,attack,S0,0,23,1,stuck_at_bit,5.504138576548661,1.1377334576125584,0.9408161497073522,2,4.462013247877392,c21f90844b8b3ca2,2ca662a53eadf568,True,2ca662a53eadf568,True,0
19851,attack,S0,0,22,1,random_and_4,0.4262966949527413,5.018922237133596,1.0268905965060218,1,1.7165116249020569,53e0a465510a624d,e3970b27d4e0382e,True,e3970b27d4e03a2e,False,1
19860,attack,S0,0,23,7,random_and_4,8.123856699288655,3.513508247884829,0.6049667191861037,1,5.259413253141405,1eb98bbd0a422273,6d47cff716756d25,True,6d47cff716756d28,False,3
19862,attack,S5,5,23,4,random_and_4,13.165522387182545,2.227541206755747,0.9398881195081176,1,3.43911382810143,49ef822b7cf82109,2a1a7d3d26de51b6,True,2a1a7d3d66de51b6,False,1
19866,attack,S0,0,23,1,random_and_4,1.9777739593870003,3.6371676105433015,0.504865285171377,2,1.6178655178107353,a4a471f28aea7fad,34f0fab79edecdd8,True,34f0fab79edecdd8,True,0
19868,attack,S0,0,22,4,random_and_4,-3.343464277212437,3.127019037490289,1.021814237275703,1,2.966012440053955,573c4c80b40df205,c16f518961ac2366,True,c16f518961ac2366,True,0
19869,attack,S0,0,22,6,random_and_4,-6.479062472351621,2.6505699790218165,0.9879270263981922,2,5.107049028400972,4b9ab2e57aeb4afb,ae6313fdfc4acce0,True,ae6313fdfc4acbe0,False,3
19871,attack,S5,5,22,3,random_and_4,4.868732411920005,8.91768366045981,0.953619917269512,3,5.95383035831979,7bcda4d62a087195,da818eb1f34f1119,False,,,-1
19873,attack,S5,5,22,4,random_and_4,-18.97159254997086,0.9158631238847564,0.5032553591294636,1,1.4132250116675171,6295e3c11ea35dd8,d801e3ae1729c68f,True,d801e3ae1729c68f,True,0
19876,attack,S5,5,22,1,random_and_4,-4.786542878492002,5.163070789568843,1.083459276530592,2,5.829091493355488,ddb53ee04a7e362f,edd9d3f46f650439,True,edd9d3f469650439,False,2
19879,attack,S0,0,22,3,random_and_4,-1.176848189811607,1.1411612765415324,0.4119400578954981,1,4.510633405948937,b75a0d7eb232d143,be8a1ea6984f2ce0,True,be8a1ea6984f28e0,False,1
19881,attack,S0,0,23,4,random_and_4,0.1615042997775768,4.855670759458169,0.8387591906315964,1,5.842489798885893,05646fd3b528c359,87f9e561cf4a176b,True,87f9e5619f4a156b,False,3
19883,attack,S0,0,23,3,random_and_4,5.797129070499498,13.977214541586068,0.9636803291939284,2,7.117021659308291,c736371ba7040ceb,79bdb3e2d180bcf9,False,,,-1
19884,attack,S5,5,23,0,random_and_4,-0.2946526610839148,2.2998210493146005,0.5981776575441865,1,3.88976575758482,0715389794f9fa2d,b53f577dc20ebf11,True,b53f577dc20ebf11,True,0
19887,attack,S5,5,22,2,random_and_2,0.4922644751657898,4.078238924299229,0.9472085824267809,1,2.0055886099188656,df9c83dd36f4829d,59be341861c5c02b,True,59be341861c5c02b,True,0
19890,attack,S5,5,23,7,random_and_4,-1.8975277110653253,4.159858265738089,0.8977794808027998,1,1.864547140099153,05737049e44e7cf6,ed7c85ff07677c00,True,ed7c85ff07677c00,True,0
19892,attack,S0,0,22,2,random_and_4,2.036974800311335,1.0500989940926984,0.6607858237657034,1,3.4942111217020204,9a5b31744937bf4f,402daeeebae0cb5d,True,402daeeebae0cb5d,True,0
19893,attack,S5,5,23,3,random_and_4,-4.7083573321684025,14.03243631215864,0.9828513542172046,2,8.076031292706146,8a8cab233125de61,62e1453e9a9c6ea2,True,62e1453e3a9c6ea2,False,2
19895,attack,S0,0,23,7,random_and_2,-1.953237077139957,2.0079191924930613,0.6660119152994597,2,1.831691470152604,4122db391904f931,9c8a882af0a16512,True,9c8a882af0a16812,False,3
19901,attack,S5,5,23,5,random_and_4,-2.149380511389692,3.677806333903349,0.3791626996185056,2,3.644305386545956,df4e7fd698bffe08,9ee78a6567444074,True,9ee78a6567444074,True,0
19908,attack,S5,5,23,3,random_and_4,1.894454603921393,1.7798327196608517,0.7270517744485383,2,3.2201368769027603,d2816c87a86e2f2e,eac501517efa068a,True,eac501517efa068a,True,0
19912,attack,S0,0,23,3,random_and_4,-1.0628354032862433,1.1378918123556194,1.0753633695551847,1,4.172164490564951,df2ae845f75c09b5,2a5d81a00c3e01ad,True,2a5d81a00c3e0cad,False,3
