pipeline,attack_type,key_id,target_sbox,target_sbox_index,key_guess,key_guess_hex,sample_count,sei,chi,llr_known_model
sefa_random_budget,SEFA,0,S0,0,7,7,2100,0.00037437641723356003,12.579047619047618,-inf
sefa_random_budget,SEFA,0,S0,0,8,8,2100,0.0006283446712018142,21.112380952380956,-inf
sefa_random_budget,SEFA,0,S0,0,9,9,2100,0.000447392290249433,15.032380952380949,-inf
sefa_random_budget,SEFA,0,S0,0,10,a,2100,0.0006287981859410432,21.127619047619053,-inf
sefa_random_budget,SEFA,0,S0,0,11,b,2100,0.0004292517006802721,14.422857142857143,-inf
sefa_random_budget,SEFA,0,S0,0,12,c,2100,0.000626984126984127,21.066666666666666,-inf
sefa_random_budget,SEFA,0,S0,0,13,d,2100,0.00042653061224489784,14.331428571428567,-inf
sefa_random_budget,SEFA,0,S0,0,14,e,2100,0.00033673469387755095,11.314285714285711,-inf
sefa_random_budget,SEFA,0,S0,0,15,f,2100,0.0004659863945578228,15.657142857142848,-inf
sefa_random_budget,SEFA,0,S5,5,0,0,2378,0.0007115530574986154,27.07317073170732,-inf
sefa_random_budget,SEFA,0,S5,5,1,1,2378,0.000547447127120556,20.829268292682915,-inf
sefa_random_budget,SEFA,0,S5,5,2,2,2378,0.0005976692006414277,22.740117746005044,-inf
sefa_random_budget,SEFA,0,S5,5,3,3,2378,0.0004537228349865356,17.263246425567704,-inf
sefa_random_budget,SEFA,0,S5,5,4,4,2378,0.0006623920137000161,25.202691337258212,-inf
sefa_random_budget,SEFA,0,S5,5,5,5,2378,0.0004441735674860878,16.89991589571067,-inf
sefa_random_budget,SEFA,0,S5,5,6,6,2378,0.000388646345353857,14.78721614802355,-inf
sefa_random_budget,SEFA,0,S5,5,7,7,2378,0.0005895346394373428,22.430613961312016,-inf
sefa_random_budget,SEFA,0,S5,5,8,8,2378,0.00048237063748787784,18.353238015138775,-inf
sefa_random_budget,SEFA,0,S5,5,9,9,2378,0.0005485081568428283,20.86963835155593,-inf
sefa_random_budget,SEFA,0,S5,5,10,a,2378,0.0005555816883246411,21.138772077375943,-inf
sefa_random_budget,SEFA,0,S5,5,11,b,2378,0.0005803390485109864,22.08074011774601,-inf
sefa_random_budget,SEFA,0,S5,5,12,c,2378,0.0003645963383156931,13.87216148023549,-inf
sefa_random_budget,SEFA,0,S5,5,13,d,2378,0.0006065111149936937,23.07653490328006,-inf
sefa_random_budget,SEFA,0,S5,5,14,e,2378,0.0004116353226697488,15.661900756938604,-inf
sefa_random_budget,SEFA,0,S5,5,15,f,2378,0.00034691250961116094,13.199327165685451,-inf
sefa_random_budget,SEFA,1,S0,0,0,0,2101,0.0002807841101934417,9.438838648262735,-inf
sefa_random_budget,SEFA,1,S0,0,1,1,2101,0.00036007365772424056,12.10423607805807,-inf
sefa_random_budget,SEFA,1,S0,0,2,2,2101,0.00023366346480370952,7.854831032841499,-inf
sefa_random_budget,SEFA,1,S0,0,3,3,2101,0.0005245428334595549,17.633031889576397,-inf
sefa_random_budget,SEFA,1,S0,0,4,4,2101,0.00046881360862362155,15.759638267491662,-inf
sefa_random_budget,SEFA,1,S0,0,5,5,2101,0.0006903712585811116,23.207520228462645,-inf
sefa_random_budget,SEFA,1,S0,0,6,6,2101,0.00045204953285996735,15.196097096620663,-inf
sefa_random_budget,SEFA,1,S0,0,7,7,2101,0.0006314704518439466,21.227510709186106,-inf
sefa_random_budget,SEFA,1,S0,0,8,8,2101,0.00037774389974539,12.698238933841031,-inf
sefa_random_budget,SEFA,1,S0,0,9,9,2101,0.0004801406868423076,16.14040932889101,-inf
sefa_random_budget,SEFA,1,S0,0,10,a,2101,0.0005218243346870704,17.54164683484056,-inf
sefa_random_budget,SEFA,1,S0,0,11,b,2101,0.00040221038869775076,13.52070442646359,-inf
sefa_random_budget,SEFA,1,S0,0,12,c,2101,0.0007764570530431215,26.10138029509757,-inf
sefa_random_budget,SEFA,1,S0,0,13,d,2101,0.0009246152361435285,31.081865778200854,-inf
sefa_random_budget,SEFA,1,S0,0,14,e,2101,0.0010188565269229923,34.24988100904331,-inf
sefa_random_budget,SEFA,1,S0,0,15,f,2101,0.0008471380211277195,28.477391718229416,-inf
sefa_random_budget,SEFA,1,S5,5,0,0,2377,0.00038051122372604224,14.471602860748838,-inf
sefa_random_budget,SEFA,1,S5,5,1,1,2377,0.0006902386653472867,26.251156920488008,-inf
sefa_random_budget,SEFA,1,S5,5,2,2,2377,0.00039360826982888356,14.9697097181321,-inf
sefa_random_budget,SEFA,1,S5,5,3,3,2377,0.0003210435549347635,12.209928481278924,-inf
sefa_random_budget,SEFA,1,S5,5,4,4,2377,0.0006321868934319909,24.04333193100548,-inf
sefa_random_budget,SEFA,1,S5,5,5,5,2377,0.0007277599325608317,27.678165755153554,-inf
sefa_random_budget,SEFA,1,S5,5,6,6,2377,0.0008038643896449087,30.57257046697517,-inf
sefa_random_budget,SEFA,1,S5,5,7,7,2377,0.0007157248091149775,27.220445940260827,-inf
sefa_random_budget,SEFA,1,S5,5,8,8,2377,0.0005967894715324197,22.697097181320984,-inf
sefa_random_budget,SEFA,1,S5,5,9,9,2377,0.00026476165411444595,10.069415229280608,-inf
sefa_random_budget,SEFA,1,S5,5,10,a,2377,0.00021449731501705526,8.157761884728647,-inf
sefa_random_budget,SEFA,1,S5,5,11,b,2377,0.0003794493010690553,14.43121581825831,-inf
sefa_random_budget,SEFA,1,S5,5,12,c,2377,0.0006120103629492353,23.275978123685316,-inf
sefa_random_budget,SEFA,1,S5,5,13,d,2377,0.0005118356589734501,19.466133782078256,-inf
sefa_random_budget,SEFA,1,S5,5,14,e,2377,0.0005574983332238962,21.20277660917122,-inf
sefa_random_budget,SEFA,1,S5,5,15,f,2377,0.0005405075707121023,20.556583929322677,-inf
sefa_guided_raw,SEFA,0,S0,0,0,0,4507,0.0008361835537343508,60.2988684268915,-inf
sefa_guided_raw,SEFA,0,S0,0,1,1,4507,0.0007949292841266716,57.323940536942544,-inf
sefa_guided_raw,SEFA,0,S0,0,2,2,4507,0.0008045782541065104,58.01974706012868,-inf
sefa_guided_raw,SEFA,0,S0,0,3,3,4507,0.000678255514472495,48.91036165964056,-inf
sefa_guided_raw,SEFA,0,S0,0,4,4,4507,0.006367701741870461,459.1877080097627,-inf
sefa_guided_raw,SEFA,0,S0,0,5,5,4507,0.0021018724220081384,151.57022409585088,-inf
sefa_guided_raw,SEFA,0,S0,0,6,6,4507,0.0018855582684805222,135.9713778566674,-inf
sefa_guided_raw,SEFA,0,S0,0,7,7,4507,0.0029488156849323804,212.6449966718438,-inf
sefa_guided_raw,SEFA,0,S0,0,8,8,4507,0.0002417873112007951,17.435766585311736,-inf
sefa_guided_raw,SEFA,0,S0,0,9,9,4507,0.0006358197383366721,45.8502329709341,-inf
sefa_guided_raw,SEFA,0,S0,0,10,a,4507,0.0002853061349874161,20.57399600621255,-inf
sefa_guided_raw,SEFA,0,S0,0,11,b,4507,0.00032872649989669196,23.70512536055025,-inf
sefa_guided_raw,SEFA,0,S0,0,12,c,4507,0.0014440686624642121,104.13467938761927,-inf
sefa_guided_raw,SEFA,0,S0,0,13,d,4507,0.0005248565835685229,37.84845795429332,-inf
sefa_guided_raw,SEFA,0,S0,0,14,e,4507,0.00031897907103950766,23.002218770800976,-inf
sefa_guided_raw,SEFA,0,S0,0,15,f,4507,0.0017413160131696623,125.56978034169069,-inf
sefa_guided_raw,SEFA,0,S5,5,0,0,4889,0.002198026605868108,171.93843321742688,-inf
sefa_guided_raw,SEFA,0,S5,5,1,1,4889,0.0005337530819705753,41.75230108406628,-inf
sefa_guided_raw,SEFA,0,S5,5,2,2,4889,0.000749966394476921,58.66537124156267,-inf
sefa_guided_raw,SEFA,0,S5,5,3,3,4889,0.0017387406645572204,136.011249744324,-inf
sefa_guided_raw,SEFA,0,S5,5,4,4,4889,0.0008543913998979432,66.83391286561671,-inf
sefa_guided_raw,SEFA,0,S5,5,5,5,4889,0.00024390675282120076,19.079361832685606,-inf
sefa_guided_raw,SEFA,0,S5,5,6,6,4889,0.0004260647951301466,33.32849253426059,-inf
sefa_guided_raw,SEFA,0,S5,5,7,7,4889,0.00019412079270460805,15.18490488852526,-inf
sefa_guided_raw,SEFA,0,S5,5,8,8,4889,0.0026896943397254182,210.39865003068113,-inf
sefa_guided_raw,SEFA,0,S5,5,9,9,4889,0.0012321789796062065,96.38596850071589,-inf
sefa_guided_raw,SEFA,0,S5,5,10,a,4889,0.0015923950439792021,124.56350992022911,-inf
sefa_guided_raw,SEFA,0,S5,5,11,b,4889,0.0055488309064211806,434.0517488238904,-inf
sefa_guided_raw,SEFA,0,S5,5,12,c,4889,0.0005560940086111305,43.49989772959707,-inf
sefa_guided_raw,SEFA,0,S5,5,13,d,4889,0.0010390596586833554,81.27940274084679,-inf
sefa_guided_raw,SEFA,0,S5,5,14,e,4889,0.0006281372214857297,49.13540601349972,-inf
