trace_id,key_id,session_id,plaintext_class,plaintext_hex,ciphertext_hex,global_trigger_sample,sampling_rate_hz,number_of_samples,trace_sha256,global_alignment_shift_samples,affine_residual_intercept_samples,affine_residual_slope_samples_per_sample,affine_residual_slope_ppm,reference_correlation_before,reference_correlation_after
312,2,3,random,a53272ea0ed6d035,c516ced3f940cace,96,100000000.0,4288,c817229986856b7df3ae0d9427a5a3be8096366e74fb8ec4e69722b8b5c7db1d,0,-3.5559232103163962,0.001299371483228942,1299.371483228942,0.17709746052905836,0.12973299173193859
313,1,3,random,998672de5265c551,1a22e1a33822427e,96,100000000.0,4288,dddc097210cfc90fd6f5d1e82c9415b1a9ceb7486b140a6fea519836934d0b32,2,-1.197327636115043,0.0008968207263728489,896.8207263728489,0.08751310327165161,0.19414220307343658
314,3,1,random,805aa0b7896ae3ad,387e7cff4ba105c7,96,100000000.0,4288,d2d0836c4ddd4258837322e9431b67ef0855cee93e132d815e99feb1a7b749e9,-1,0.17050034763306968,-6.678505116228619e-05,-66.7850511622862,0.14748267202691873,0.21017443168594482
315,1,1,random,4a739ea9d5797bf4,27acf080141e6d3b,96,100000000.0,4288,263f6e7896823fbb4522b8020287d65b07b992ecbd3a93a89c9a533edfbcb4dc,2,-1.951217935208504,0.001550032272934425,1550.032272934425,0.14234010561656504,0.26562048709477354
316,1,2,walking_one,0000000000080000,7234e6621a57b876,96,100000000.0,4288,d4c996a092ad18b7e5b8de718eb9278f5a23bc3fb01ef090c1c42ff17063fbee,-3,1.5511463099047993,-0.00038254426705408454,-382.5442670540845,0.08615773705804439,0.1979088575298349
317,2,1,walking_zero,fffffffffff7ffff,77a72cda1677da5a,96,100000000.0,4288,85582005ea8ca1f35e7d5b3f22e25705c4e94308046b6c65139665f8337fac0d,1,0.090583871024106,0.0003926951512040669,392.69515120406686,0.14592871478078825,0.2466046913332767
318,0,2,repeated_nibble,3333333333333333,b042bd19b358886d,96,100000000.0,4288,e378502d6daa8c84932a6b141197f3d821f27c7df1669b6d95aca18ca88589a2,0,-0.3154246062695908,0.000199514319548538,199.514319548538,0.09060644620119473,0.1287062547430386
319,2,1,counter,2720ae259dd09e2b,3db52b8861eece61,96,100000000.0,4288,b0bd8c6788b2ad93ae89bf05ab5f9ee62ef9fe355a8d25cf6b72f86d7a9b623c,1,-1.6183808325701827,0.0012141681656965002,1214.1681656965002,0.16201998526803166,0.24245651260405324
320,0,1,random,a402fba2a562d6ed,14110146680e02cb,96,100000000.0,4288,31ec52be144a865380da667e8fefa5ba38b5bb546173c6f4750a06b040ab5760,2,-1.0120664565654456,0.000799004360712366,799.004360712366,0.09411706928473414,0.21694004390549929
321,3,1,random,2cdf7f89ff9552a8,576e17d29986dd0a,96,100000000.0,4288,507d827b108ceedee3813fe8b1e68a142426cdd1563da718894fd2b3a6a891d3,2,-2.0145805587654144,0.0012833547170505641,1283.3547170505642,0.13471870093192967,0.25598359534388726
322,2,2,random,a04effd159c33695,173adbaa333f7908,96,100000000.0,4288,12a68545ea122dbad281589810f812dd55570aa110ecc49bca4070d64b998e2a,-4,0.8560176664951036,-0.0002259722518592733,-225.9722518592733,0.05056308697792727,0.2156760200052019
323,1,2,random,c801e2e8cf877f21,927b218a1e721376,96,100000000.0,4288,638478ee896f32e4936e6ebd41f1eada49b67b7385dae066ec8dd87088466053,-1,3.467354768736891,-0.001878591534016874,-1878.5915340168742,0.1409644176440034,0.07791997936822641
324,0,0,random,42b41436a6095a46,5a44c4dce509cc1a,96,100000000.0,4288,e6c9e6631b54067f99637783bff0275f971c9f2ffbd1bad5c5deca349ba5ad2f,-1,-1.6472930061023239,-0.000442248491981925,-442.248491981925,0.1336163730641957,0.14139571363017508
325,3,1,random,d036bf3e78d2be3e,c41abeb3b9b99334,96,100000000.0,4288,9260018e29dedbf530189017af70eb4f3c06411964fc2b11b9bcecae3e0233e5,0,2.6386038590322194,-0.0006466921737842636,-646.6921737842636,0.14084963260008107,0.10961426691611975
326,0,2,random,c65b561af3488d30,da0caadb1e5a19d6,96,100000000.0,4288,09981544c54f55deafb238d5a49de0cbeb9eb8959c2c38cffd06758dc2f03aef,0,-3.1532342998602645,0.0015018306421017628,1501.8306421017628,0.1613294792256348,0.15137017416596862
327,2,2,random,9eda7cc702904177,2f410c38c253d2c5,96,100000000.0,4288,87771624a34265051af40c28a04c5c5001d962a8ab821136d79aff73d37f9b4a,-1,-0.22269000196632463,-0.00027365146020765646,-273.65146020765644,0.14176688912707178,0.20108663186086895
328,2,1,random,18dbd51336faa1a8,b1295b6b00523c26,96,100000000.0,4288,9f32787bba12b23bab3b95e59562c1597ededf9330a6e633f2de26102cfcfa07,4,-3.0645018237982575,0.0015303135357108383,1530.3135357108383,0.0519075990871242,0.2196662543634735
329,2,1,random,a75feebe1c51edc2,6746f014cb63d2a5,96,100000000.0,4288,de2821e9cac7a2c3797fd91ce47d48b3f3cee8e4560aa1e21f8cacaf8be44b90,2,-2.0363137295939113,0.001529271679817469,1529.271679817469,0.11388134237842175,0.24789912341823483
330,2,3,random,acba8d4735be2f72,5f828de37a989e8a,96,100000000.0,4288,9355f8cc3d5616cc3823414a1fcad72556100d8aa4b13663a8addd5515b8a59e,4,0.6728107296294852,-0.0008914591204173447,-891.4591204173447,0.03677875224435704,0.2041540632864539
331,0,2,random,5399d01b13967ed2,f735008c9c6e5a7c,96,100000000.0,4288,668565fe0bc4f9622e824fd9a3193ac273f225ae1a0805ae7267747c486dccd6,2,-0.6605335750545095,0.00028691051877532313,286.9105187753231,0.11975786818266124,0.21765960057384157
332,2,3,walking_one,0000000000100000,1c2149bb541050df,96,100000000.0,4288,d1317aa2c342addb2fd80acde2ff127719be0ee3cf4ff88a87d866c22f2c8001,2,-0.08124506746599293,8.477774221975108e-05,84.77774221975108,0.1450675675395482,0.23889026859569334
333,0,2,walking_zero,ffffffffffefffff,7a2ab7362458379a,96,100000000.0,4288,e2f2dc970bbc2a8d1bdf250b8e68e1cb6674516c7198c76bd21d4a4b0ffc87cf,-1,-5.302595562036438,0.0032565737640701726,3256.5737640701727,0.11606450166841029,0.09212170873736535
334,3,1,repeated_nibble,4444444444444444,3580ce95538f6b12,96,100000000.0,4288,976ebb0ba76a014e412e025ad277bb3a4fde2240e40668635b7fa21a643e901f,0,0.35373467083304444,1.3151982164454502e-05,13.151982164454502,0.1756530225729551,0.26077679800967074
335,2,3,counter,0a9849bd92785f7b,dcc7204b3cefd8aa,96,100000000.0,4288,5c14e7bd80cabee63388972e3a368398900cd5e58025366041796bb77b899742,2,0.9116310169205766,-0.0006101013613026889,-610.1013613026889,0.11244533430944392,0.23840550221118761
336,3,0,random,ca880df971b6f713,2671c1d377aceabf,96,100000000.0,4288,18580e68a32645d6e9052128c16cdceb457c22e7819166c9607dcb9752a5d52d,3,2.8446618511370447,-0.003058562583352998,-3058.562583352998,0.07148451509180138,0.26522648415523103
337,0,0,random,20f2ac7a1892dfc7,43f5a1e229e94969,96,100000000.0,4288,b076d4dde8fc99cd60d895ddd7ace2433ee9e740b5db5c775b2c835b4a7a063b,-4,1.558856736339841,-0.0018925973596374778,-1892.5973596374777,0.04917771912893865,0.17201362549219815
338,0,3,random,3d12b3823ea6c40c,e49ae0b75685b7fd,96,100000000.0,4288,1835a7e559ad2018e376f8194625685086032f3b828399247de1036dc6c15cd3,0,2.087073621372453,-0.0005555673087003422,-555.5673087003422,0.1602911840198107,0.215904308462597
339,3,1,random,967b3e9464815b16,6dbd61af2c4ffd9f,96,100000000.0,4288,ea51e257ae291c8bcb31a656d6c2e4b0a9bd937d74c50e84afde02defd984f8a,-3,-1.3108030145808713,0.0016643693283535232,1664.369328353523,0.084776528539057,0.19850927254487846
340,1,1,random,80f0ec9bbb2fd7d0,0691436cf42af029,96,100000000.0,4288,962c7e50577b2b617c9efb6c1c467fc4f6617ca51adb9b709f1e954ff5447031,0,-0.2559277390084352,0.0006975080446489583,697.5080446489583,0.12039185266920438,0.19226623120172018
341,2,3,random,93b4a2174b7b8694,fd036f61a731c2bd,96,100000000.0,4288,3b2e06c74aee9bc821b2ee5c6c3c24e834605da0b335767e062c723015fc26fc,4,0.6599948091388099,-0.0009355976343351564,-935.5976343351564,0.05519611200889829,0.2472474615475506
342,3,2,random,f7fee2296fc46036,4c74121de83f429e,96,100000000.0,4288,428d571f5d8de287b83d2a4579ca52ca037fc6d77c53b442759a7cfcfe0457fa,0,-1.2828293383183678,0.0004945687028736634,494.56870287366337,0.1408452839624974,0.20940085840293313
343,2,2,random,ce503ad9000fb7e5,9b942eaefbd39093,96,100000000.0,4288,2d58ed95796b1e408116da40a0b3a9978b4c3615a1490564165b117dd78f79ca,-3,-0.2927775827152434,0.00024511599362363906,245.11599362363904,0.06973258141239862,0.198930047645495
344,0,1,random,302f7f62ee5d0863,38769c5cf0efcb15,96,100000000.0,4288,2b3810b4060d6aa45c6d9ee772a9d03ce06104d16c6525d50f55bf0a0a9a3168,0,-0.8305783604012091,0.0004944946301257197,494.49463012571965,0.15019100682203781,0.20860189665937146
345,2,2,random,3aed2f304e1e2ecd,a0b01dd06ba55481,96,100000000.0,4288,81a15bfad1be12da66565a221572be49387db2f01da435bf329acf7a531cf913,-3,0.12181863395582467,-0.00023274385513936778,-232.74385513936778,0.08494050995575672,0.2591396816571312
346,1,2,random,4c21abffb0de578b,709f49b5dbc0bd4d,96,100000000.0,4288,330d2ddc585c4902c0e4a2655a1786aab88b5efa8000e7858f78f00a34a1e5d6,1,-5.5451598401856845,0.001747600217976355,1747.600217976355,0.11273477926979766,0.07379702294108798
347,1,1,random,ec5694d2e1013691,62ec888b2d47c235,96,100000000.0,4288,4719dc6803071024d00810cc1d95875400ef4589c9f3f721168740f96746fef7,0,-1.2585147392510412,0.0005018122778941996,501.81227789419967,0.15021441387162004,0.2273470301749609
348,0,1,walking_one,0000000000200000,8c48876328e412b4,96,100000000.0,4288,11cf09f9bd5bd2b4567d1cf25bf0da77347ab97be3d5fce099620c6b2bcdc771,1,-1.2959063046424097,0.0010293352843261457,1029.3352843261457,0.1546091298294306,0.2568141012942967
349,1,3,walking_zero,ffffffffffdfffff,0394653983337eaa,96,100000000.0,4288,044d541204430a3c573514c4b684dd1390b99312ee6e913625f32d39032bee9e,1,-0.717923602941302,0.00046277478776958014,462.77478776958014,0.12831286008080217,0.21157499549075579
350,1,2,repeated_nibble,5555555555555555,fb607b86ec237bb3,96,100000000.0,4288,9d63a9d2fb9ccd093e4c9df74807561e8eadf73054ac6188402a8084fcdccb01,0,0.6013288128809142,-0.0004937143649317232,-493.7143649317232,0.15945939988718305,0.21261956826064404
351,3,0,counter,ee0fe555872020cb,2e3f6d3451f7ff3a,96,100000000.0,4288,6839e2ca92d73d4fd24bab0f987295b93fc4041ae1f2c3e76954fb720152c6e0,0,2.729093986755619,-0.0027220888874689444,-2722.0888874689444,0.14305536069519942,0.2661479201068719
352,2,2,random,8391acf50981ffc8,9b0d9601069473c5,96,100000000.0,4288,3a00cdd4e8d5f8dfb7b2d1745b2e36cd6301029d6a47e101760bc791137dc1f5,0,0.38498180787389014,-0.000263009222844564,-263.009222844564,0.15226812469936657,0.21390266290032903
353,1,0,random,ecc28cb4c19ac01b,58a9e7eca0d38ca4,96,100000000.0,4288,87d6aaddaa7af24b3a28f583f48b5f91ec4e412453858c856fbac0a9f762d18b,-2,-0.4121022203966891,-0.0007339229320957411,-733.9229320957411,0.1271728599649286,0.13890954979153514
354,3,2,random,0e6b6848f9c0077a,1a501255cb844702,96,100000000.0,4288,eb91c9a678023c0ff70ef5c7ee31d08ac35a0b4c581a164a9467fd184bee190e,-1,-0.9085051560466556,0.00023259535307907752,232.5953530790775,0.09343083138502736,0.19390365011929553
355,0,0,random,1378a152d8aae495,d5a1067504337996,96,100000000.0,4288,ae14c7a7a87eaf3ea0af413737414b4d76c8eda60c0889b73dd0b8c71c928356,-1,2.699542123545829,-0.0031616286202589263,-3161.6286202589263,0.13399701005004538,0.25410466120124636
356,1,2,random,c4d066839abe4d5a,58619f6391adb135,96,100000000.0,4288,9573dc3bfcaeffac87b929a75d274879f624d69a71f29a6d251c03919aef3e57,0,-0.20752256274718145,-0.0001429502086281344,-142.95020862813442,0.1632994706851453,0.24818617341660645
357,3,2,random,37070582fe22d349,51ea289f0563bccb,96,100000000.0,4288,d3d6e5fb6987dcb8f219b6c5b0fcf71c4f7bc360f10819c063dfd19af1ab61e8,1,0.4317182641430105,0.00018493725956755818,184.9372595675582,0.16098226641418464,0.23782305653200417
