sbox,sbox_index,absolute_sample,offset_from_center_samples,own_specificity,strongest_other_specificity,isolation_margin,normalized_response,safe_sample
S6,6,4140,3,18.320202458787087,7.369405669056515,10.950796789730571,0.3403401493857193,False
S6,6,4141,4,8.301470591653114,11.716609088993641,-3.4151384973405268,0.15028735884424047,False
S6,6,4142,5,2.826734024871105,17.95677112037309,-15.130037095501986,0.04643300124737967,False
S6,6,4143,6,0.5247515479399885,25.187444711990032,-24.662693164050044,0.0027649802522736427,False
S6,6,4144,7,0.3789941734414318,30.997448107573305,-30.618453934131875,0.0,False
S7,7,4139,-7,3.999261519041616,32.289358350956725,-28.290096831915108,0.0945196811320987,False
S7,7,4140,-6,7.369405669056515,18.320202458787087,-10.950796789730571,0.19932313870899684,False
S7,7,4141,-5,11.716609088993641,8.301470591653114,3.4151384973405268,0.3345108128616034,False
S7,7,4142,-4,17.95677112037309,2.826734024871105,15.130037095501986,0.5285649920354395,False
S7,7,4143,-3,25.187444711990032,0.5575452496532758,24.629899462336756,0.753421721979194,True
S7,7,4144,-2,30.997448107573305,1.0832538298066896,29.914194277766615,0.9340989919374995,True
S7,7,4145,-1,33.11661384825472,1.4898124267089585,31.626801421545764,1.0,True
S7,7,4146,0,32.17247404533983,1.8599565183410156,30.312517526998818,0.9706395004554882,True
S7,7,4147,1,28.574773544772967,1.5894831705158363,26.98529037425713,0.8587595822674552,True
S7,7,4148,2,22.23429194531446,1.539337058864544,20.694954886449917,0.6615857034222387,True
S7,7,4149,3,15.13952202133266,2.16235087424953,12.97717114708313,0.44095525390790774,False
S7,7,4150,4,8.719699778479038,2.6271608984208443,6.092538880058194,0.24131406999084523,False
S7,7,4151,5,4.7455931120085415,2.5098004873517583,2.235792624656783,0.11772881639756269,False
S7,7,4152,6,2.3363346952271957,1.550725417599441,0.7856092776277548,0.04280661692018653,False
S7,7,4153,7,0.9598107433371232,1.096418242719275,-0.13660749938215178,0.0,False
