pipeline,attack_type,key_id,target_sbox,target_sbox_index,key_guess,key_guess_hex,effective_sample_count,ineffective_sample_count,sei_effective_component,sei_ineffective_component,shfa_sei_joint,shfa_sei_joint_equivalent,alternative_sei_sum,alternative_sei_product
shfa_random_threshold,SHFA,0,S5,5,6,6,288,92,0.003520447530864197,0.012169187145557654,0.0010234431521155686,0.0010234431521155684,0.01568963467642185,4.284098483920277e-05
shfa_random_threshold,SHFA,0,S5,5,7,7,288,92,0.003520447530864198,0.013350661625708886,0.001101444626041448,0.0011014446260414479,0.016871109156573083,4.7000303755630245e-05
shfa_random_threshold,SHFA,0,S5,5,8,8,288,92,0.0015432098765432107,0.017840264650283558,0.0012389984305351352,0.0012389984305351352,0.019383474526826767,2.7531272608462294e-05
shfa_random_threshold,SHFA,0,S5,5,9,9,288,92,0.0037133487654320996,0.006025519848771267,0.0006310541450792319,0.0006310541450792318,0.009738868614203366,2.2374856691521396e-05
shfa_random_threshold,SHFA,0,S5,5,10,a,288,92,0.003134645061728395,0.012641776937618147,0.0010256538586081356,0.0010256538586081356,0.015776421999346542,3.962748364897664e-05
shfa_random_threshold,SHFA,0,S5,5,11,b,288,92,0.004460841049382716,0.040760869565217385,0.0030081846735775628,0.0030081846735775623,0.0452217106146001,0.00018182776016505633
shfa_random_threshold,SHFA,0,S5,5,12,c,288,92,0.0027488425925925927,0.013114366729678638,0.0010274999124833717,0.0010274999124833717,0.01586320932227123,3.604932984141987e-05
shfa_random_threshold,SHFA,0,S5,5,13,d,288,92,0.006438078703703704,0.012641776937618148,0.0012738797324616678,0.0012738797324616678,0.019079855641321853,8.138875487905202e-05
shfa_random_threshold,SHFA,0,S5,5,14,e,288,92,0.0027729552469135813,0.011460302457466919,0.0009213575123544308,0.0009213575123544308,0.014233257704380501,3.17789058306495e-05
shfa_random_threshold,SHFA,0,S5,5,15,f,288,92,0.0032069830246913584,0.014532136105860113,0.0011552992594634649,0.0011552992594634646,0.01773911913055147,4.6604313803997764e-05
shfa_random_threshold,SHFA,1,S0,0,0,0,285,134,0.0021229609110495536,0.007448763644464246,0.000614046218772457,0.000614046218772457,0.009571724555513798,1.5813434052844607e-05
shfa_random_threshold,SHFA,1,S0,0,1,1,285,134,0.001876731301939058,0.014131766540432168,0.0010270526437663257,0.0010270526437663257,0.016008497842371225,2.652152861812408e-05
shfa_random_threshold,SHFA,1,S0,0,2,2,285,134,0.0022953216374269002,0.009119514368456226,0.0007343594690204386,0.0007343594690204386,0.011414836005883127,2.093221865274309e-05
shfa_random_threshold,SHFA,1,S0,0,3,3,285,134,0.001728993536472761,0.007782913789262642,0.0006079508154950226,0.0006079508154950225,0.009511907325735404,1.3456607636559832e-05
shfa_random_threshold,SHFA,1,S0,0,4,4,285,134,0.004068174823022469,0.007225996881265315,0.000735282350101589,0.0007352823501015889,0.011294171704287783,2.9396618583602433e-05
shfa_random_threshold,SHFA,1,S0,0,5,5,285,134,0.0032063711911357344,0.008005680552461574,0.0007264224174636802,0.0007264224174636803,0.01121205174359731,2.56691834888484e-05
shfa_random_threshold,SHFA,1,S0,0,6,6,285,134,0.001605878731917513,0.007894297170862107,0.0006064382778538503,0.0006064382778538503,0.00950017590277962,1.267728393012405e-05
shfa_random_threshold,SHFA,1,S0,0,7,7,285,134,0.0023938134810710986,0.0074487636444642465,0.0006329920211753899,0.0006329920211753899,0.009842577125535344,1.7830950829430802e-05
shfa_random_threshold,SHFA,1,S0,0,8,8,285,134,0.0034033548784241302,0.007003230118066384,0.0006742460396677052,0.0006742460396677052,0.010406584996490515,2.3834477387048026e-05
shfa_random_threshold,SHFA,1,S0,0,9,9,285,134,0.00394506001846722,0.011569948763644464,0.0010153321911651482,0.0010153321911651482,0.015515008782111685,4.564414228316802e-05
shfa_random_threshold,SHFA,1,S0,0,10,a,285,134,0.002369190520160049,0.011013031855647136,0.0008624808691585688,0.0008624808691585689,0.013382222375807185,2.6091970670619828e-05
shfa_random_threshold,SHFA,1,S0,0,11,b,285,134,0.0025415512465373964,0.007448763644464245,0.0006433260952133531,0.0006433260952133531,0.00999031489100164,1.893141452575054e-05
shfa_random_threshold,SHFA,1,S0,0,12,c,285,134,0.005447060634041243,0.011792715526843394,0.0011417216465700055,0.0011417216465700055,0.017239776160884637,6.42356365147156e-05
shfa_random_threshold,SHFA,1,S0,0,13,d,285,134,0.003920437057556171,0.016470817554020942,0.0013390262167306,0.0013390262167306,0.020391254611577113,6.457280350703039e-05
shfa_random_threshold,SHFA,1,S0,0,14,e,285,134,0.003895814096645121,0.010233348184450878,0.0009229398646813616,0.0009229398646813615,0.014129162281096,3.9867222112861486e-05
shfa_random_threshold,SHFA,1,S0,0,15,f,285,134,0.004166666666666666,0.010901648474047673,0.000987193231603178,0.0009871932316031782,0.015068315140714338,4.542353530853196e-05
shfa_random_threshold,SHFA,1,S5,5,0,0,268,78,0.0051932501670750725,0.012121959237343854,0.0011451529546107962,0.0011451529546107962,0.017315209404418927,6.295236683461319e-05
shfa_random_threshold,SHFA,1,S5,5,1,1,268,78,0.00399587881488082,0.009820841551610782,0.0009027879156061079,0.0009027879156061079,0.013816720366491602,3.924289270038281e-05
shfa_random_threshold,SHFA,1,S5,5,2,2,268,78,0.002826353308086434,0.012779421433267584,0.0010114800813779729,0.0010114800813779727,0.01560577474135402,3.611916004334651e-05
shfa_random_threshold,SHFA,1,S5,5,3,3,268,78,0.00452494987747828,0.015738001314924387,0.001337648116646887,0.0013376481166468867,0.020262951192402665,7.12136671217201e-05
shfa_random_threshold,SHFA,1,S5,5,4,4,268,78,0.004664179104477612,0.009163379355687049,0.0009069620462774884,0.0009069620462774883,0.01382755846016466,4.273964251719706e-05
shfa_random_threshold,SHFA,1,S5,5,5,5,268,78,0.004413566495878814,0.010807034845496385,0.0009989851507498277,0.0009989851507498277,0.0152206013413752,4.769756691387772e-05
shfa_random_threshold,SHFA,1,S5,5,6,6,268,78,0.008005680552461572,0.0196827744904668,0.00188810244513984,0.00188810244513984,0.02768845504292837,0.00015757400495681678
shfa_random_threshold,SHFA,1,S5,5,7,7,268,78,0.006251392292269994,0.01738165680473373,0.0015857251239387274,0.0015857251239387274,0.023633049097003724,0.00010865955537599474
