pipeline,attack_type,key_id,target_sbox,target_sbox_index,injection_checkpoint,key_guess,key_guess_hex,effective_sample_count,ineffective_sample_count,sei_effective_component,sei_ineffective_component,shfa_sei_joint,shfa_sei_joint_equivalent,alternative_sei_sum,alternative_sei_product
shfa_guided_threshold,SHFA,1,S0,0,500,14,e,282,218,0.0061585181831899805,0.007022767443817861,0.0008670801926870572,0.0008670801926870571,0.013181285627007842,4.3249840999066915e-05
shfa_guided_threshold,SHFA,1,S0,0,500,15,f,282,218,0.0024363714098888387,0.007106935443144518,0.0006137718126401877,0.0006137718126401878,0.009543306853033357,1.7315134325602968e-05
shfa_guided_threshold,SHFA,1,S0,0,1000,0,0,560,440,0.003322704081632653,0.001962809917355372,0.00033686646146061723,0.0003368664614606173,0.005285513998988025,6.521836523865745e-06
shfa_guided_threshold,SHFA,1,S0,0,1000,1,1,560,440,0.0008482142857142859,0.002923553719008265,0.00023821530032467537,0.00023821530032467537,0.003771768004722551,2.4798000295159396e-06
shfa_guided_threshold,SHFA,1,S0,0,1000,2,2,560,440,0.003118622448979592,0.0022417355371900827,0.000342013500906561,0.00034201350090656103,0.005360357986169675,6.9911267709563165e-06
shfa_guided_threshold,SHFA,1,S0,0,1000,3,3,560,440,0.0032525510204081632,0.0019318181818181817,0.0003303064123376623,0.0003303064123376623,0.0051843692022263445,6.2833371985157695e-06
shfa_guided_threshold,SHFA,1,S0,0,1000,4,4,560,440,0.00173469387755102,0.0016735537190082643,0.00021591857817507162,0.00021591857817507165,0.0034082475965592843,2.903103390116376e-06
shfa_guided_threshold,SHFA,1,S0,0,1000,5,5,560,440,0.003163265306122449,0.0031818181818181815,0.00040663265306122443,0.00040663265306122443,0.00634508348794063,1.0064935064935065e-05
shfa_guided_threshold,SHFA,1,S0,0,1000,6,6,560,440,0.0033290816326530617,0.00253099173553719,0.0003746804636110643,0.00037468046361106426,0.005860073368190251,8.425878099173555e-06
shfa_guided_threshold,SHFA,1,S0,0,1000,7,7,560,440,0.0026466836734693874,0.0014049586776859503,0.0002569461281413391,0.00025694612814133915,0.004051642351155338,3.718481194130544e-06
shfa_guided_threshold,SHFA,1,S0,0,1000,8,8,560,440,0.004043367346938775,0.0019834710743801653,0.0003846973035081801,0.00038469730350818016,0.006026838421318941,8.019902175746331e-06
shfa_guided_threshold,SHFA,1,S0,0,1000,9,9,560,440,0.002582908163265306,0.0024173553719008265,0.00031876027787147915,0.00031876027787147915,0.005000263535166132,6.243806923595884e-06
shfa_guided_threshold,SHFA,1,S0,0,1000,10,a,560,440,0.002665816326530612,0.00118801652892562,0.0002440315873250126,0.00024403158732501265,0.003853832855456232,3.167033858998145e-06
shfa_guided_threshold,SHFA,1,S0,0,1000,11,b,560,440,0.0038392857142857152,0.0008264462809917352,0.00029478121310507675,0.00029478121310507675,0.00466573199527745,3.172963400236127e-06
shfa_guided_threshold,SHFA,1,S0,0,1000,12,c,560,440,0.003903061224489796,0.0019008264462809915,0.0003701620214201383,0.0003701620214201383,0.005803887670770788,7.419041996964074e-06
shfa_guided_threshold,SHFA,1,S0,0,1000,13,d,560,440,0.008915816326530612,0.005981404958677685,0.0009844054383116884,0.0009844054383116882,0.014897221285208297,5.3329107986169666e-05
shfa_guided_threshold,SHFA,1,S0,0,1000,14,e,560,440,0.004113520408163266,0.0035640495867768594,0.0004945089153946703,0.0004945089153946703,0.0076775699949401255,1.4660790710912467e-05
shfa_guided_threshold,SHFA,1,S0,0,1000,15,f,560,440,0.002869897959183673,0.001911157024793388,0.00030430076214370044,0.0003043007621437004,0.004781054983977061,5.484825645134085e-06
shfa_guided_threshold,SHFA,1,S0,0,1500,0,0,843,657,0.0016315192169411342,0.001480224673287787,0.000196899008139167,0.000196899008139167,0.003111743890228921,2.4150149998594365e-06
shfa_guided_threshold,SHFA,1,S0,0,1500,1,1,843,657,0.0008632074343311536,0.0026663736044795655,0.00022290044844376104,0.00022290044844376104,0.003529581038810719,2.3016335180911157e-06
shfa_guided_threshold,SHFA,1,S0,0,1500,2,2,843,657,0.0016990631099178355,0.0017026275978862452,0.00021549854097925155,0.00021549854097925158,0.0034016907078040807,2.8928717414965377e-06
shfa_guided_threshold,SHFA,1,S0,0,1500,3,3,843,657,0.00227037187134577,0.0014987582503376584,0.0002389733711787283,0.0002389733711787283,0.0037691301216834284,3.4027385735140216e-06
shfa_guided_threshold,SHFA,1,S0,0,1500,4,4,843,657,0.0013866726049005904,0.0010122518527785306,0.00015133644051845295,0.00015133644051845292,0.002398924457679121,1.4036619135078539e-06
shfa_guided_threshold,SHFA,1,S0,0,1500,5,5,843,657,0.002655934927087776,0.0023837365544690245,0.0003213105167692901,0.00032131051676929017,0.0050396714815568,6.331049171990155e-06
shfa_guided_threshold,SHFA,1,S0,0,1500,6,6,843,657,0.003230058017389738,0.0019435640995345753,0.0003296292071097821,0.0003296292071097821,0.005173622116924313,6.277824802012522e-06
shfa_guided_threshold,SHFA,1,S0,0,1500,7,7,843,657,0.0011671549527263105,0.0015358254044374017,0.00017072881855004397,0.00017072881855004403,0.0027029803571637125,1.7925462273120023e-06
shfa_guided_threshold,SHFA,1,S0,0,1500,8,8,843,657,0.0021324697565183372,0.001920397128222236,0.0002573993690927244,0.0002573993690927244,0.004052866884740573,4.095188796438586e-06
shfa_guided_threshold,SHFA,1,S0,0,1500,9,9,843,657,0.0017891216338867713,0.001549725587224805,0.0002114505988941653,0.0002114505988941653,0.0033388472211115764,2.7726475746917794e-06
shfa_guided_threshold,SHFA,1,S0,0,1500,10,a,843,657,0.001924209419840174,0.0009844514872037232,0.00018368559751529668,0.00018368559751529663,0.002908660907043897,1.8942908250530728e-06
shfa_guided_threshold,SHFA,1,S0,0,1500,11,b,843,657,0.0026362346249695703,0.00048404490685719176,0.00019629352668266973,0.00019629352668266973,0.003120279531826762,1.2760559434970996e-06
shfa_guided_threshold,SHFA,1,S0,0,1500,12,c,843,657,0.002990840063097254,0.00239300334299396,0.0003436473031500528,0.00034364730315005284,0.005383843406091214,7.1570902693519945e-06
shfa_guided_threshold,SHFA,1,S0,0,1500,13,d,843,657,0.007958130525758849,0.005641012720983947,0.000894838368452481,0.0008948383684524811,0.013599143246742796,4.489191553105633e-05
