pipeline,key_id,target_sbox,target_sbox_index,key_guess,key_guess_hex,sample_count,sei,chi
random_raw,1,S5,5,10,a,594,0.0006681574442517202,6.350168350168349
random_raw,1,S5,5,11,b,594,0.0005888004625378364,5.595959595959597
random_raw,1,S5,5,12,c,594,0.001433385482207031,13.622895622895623
random_raw,1,S5,5,13,d,594,0.0016657880715119774,15.831649831649834
random_raw,1,S5,5,14,e,594,0.0014957373964107974,14.215488215488218
random_raw,1,S5,5,15,f,594,0.0011442993345350243,10.875420875420872
random_threshold,0,S0,0,0,0,49,0.009553311120366514,7.489795918367347
random_threshold,0,S0,0,1,1,49,0.02204810495626822,17.285714285714285
random_threshold,0,S0,0,2,2,49,0.012885256143273637,10.102040816326532
random_threshold,0,S0,0,3,3,49,0.012052269887546855,9.448979591836734
random_threshold,0,S0,0,4,4,49,0.02538004997917534,19.897959183673468
random_threshold,0,S0,0,5,5,49,0.026213036234902124,20.551020408163264
random_threshold,0,S0,0,6,6,49,0.022048104956268223,17.28571428571429
random_threshold,0,S0,0,7,7,49,0.038707830070803834,30.346938775510207
random_threshold,0,S0,0,8,8,49,0.012885256143273634,10.102040816326529
random_threshold,0,S0,0,9,9,49,0.016217201166180757,12.714285714285714
random_threshold,0,S0,0,10,a,49,0.02371407746772178,18.591836734693878
random_threshold,0,S0,0,11,b,49,0.021215118700541442,16.63265306122449
random_threshold,0,S0,0,12,c,49,0.02954498125780925,23.163265306122454
random_threshold,0,S0,0,13,d,49,0.017883173677634322,14.020408163265309
random_threshold,0,S0,0,14,e,49,0.021215118700541442,16.63265306122449
random_threshold,0,S0,0,15,f,49,0.022881091211995004,17.938775510204085
random_threshold,0,S5,5,0,0,38,0.019217451523545703,11.684210526315788
random_threshold,0,S5,5,1,1,38,0.023372576177285317,14.210526315789473
random_threshold,0,S5,5,2,2,38,0.023372576177285317,14.210526315789473
random_threshold,0,S5,5,3,3,38,0.02614265927977839,15.894736842105262
random_threshold,0,S5,5,4,4,38,0.01644736842105263,10.0
random_threshold,0,S5,5,5,5,38,0.02060249307479224,12.526315789473683
random_threshold,0,S5,5,6,6,38,0.0413781163434903,25.157894736842103
random_threshold,0,S5,5,7,7,38,0.0067520775623268695,4.105263157894736
