pipeline,key_id,K32_0_guess,K32_5_guess,joint_guess_hex,joint_sei
random_raw,0,15,1,f1,0.002790364456425034
random_raw,0,15,2,f2,0.0026767477666743414
random_raw,0,15,3,f3,0.00323401057830869
random_raw,0,15,4,f4,0.002952674013211737
random_raw,0,15,5,f5,0.003293524082463815
random_raw,0,15,6,f6,0.0036560154259541195
random_raw,0,15,7,f7,0.0030392391101646456
random_raw,0,15,8,f8,0.0028282366863419317
random_raw,0,15,9,f9,0.003190728029832236
random_raw,0,15,10,fa,0.003023008154485975
random_raw,0,15,11,fb,0.003044649428724203
random_raw,0,15,12,fc,0.0026496961738765572
random_raw,0,15,13,fd,0.0022926151489458093
random_raw,0,15,14,fe,0.003028418473045532
random_raw,0,15,15,ff,0.003450423320690962
random_raw,1,0,0,00,0.0014031168801006445
random_raw,1,0,1,01,0.002003962598791481
random_raw,1,0,2,02,0.0026161450291557298
random_raw,1,0,3,03,0.0013861118125905268
random_raw,1,0,4,04,0.0020266360221383056
random_raw,1,0,5,05,0.002026636022138305
random_raw,1,0,6,06,0.0024290892865444316
random_raw,1,0,7,07,0.0016128460460587664
random_raw,1,0,8,08,0.002372405728177372
random_raw,1,0,9,09,0.0018509169912004192
random_raw,1,0,10,0a,0.0012954181192032302
random_raw,1,0,11,0b,0.0012160611374893463
random_raw,1,0,12,0c,0.002060646157158541
random_raw,1,0,13,0d,0.0022930487464634876
random_raw,1,0,14,0e,0.0021229980713623076
random_raw,1,0,15,0f,0.0017715600094865345
random_raw,1,1,0,10,0.0019104212170454216
random_raw,1,1,1,11,0.0025112669357362583
random_raw,1,1,2,12,0.0031234493661005066
random_raw,1,1,3,13,0.0018934161495353036
random_raw,1,1,4,14,0.0025339403590830824
random_raw,1,1,5,15,0.002533940359083082
random_raw,1,1,6,16,0.0029363936234892084
random_raw,1,1,7,17,0.0021201503830035433
random_raw,1,1,8,18,0.0028797100651221487
random_raw,1,1,9,19,0.0023582213281451965
random_raw,1,1,10,1a,0.0018027224561480073
random_raw,1,1,11,1b,0.0017233654744341234
random_raw,1,1,12,1c,0.002567950494103318
random_raw,1,1,13,1d,0.0028003530834082645
random_raw,1,1,14,1e,0.0026303024083070845
random_raw,1,1,15,1f,0.0022788643464313114
random_raw,1,2,0,20,0.0020254102000862376
random_raw,1,2,1,21,0.0026262559187770736
random_raw,1,2,2,22,0.0032384383491413224
random_raw,1,2,3,23,0.0020084051325761194
random_raw,1,2,4,24,0.002648929342123898
random_raw,1,2,5,25,0.002648929342123898
random_raw,1,2,6,26,0.003051382606530024
random_raw,1,2,7,27,0.0022351393660443595
random_raw,1,2,8,28,0.0029946990481629645
random_raw,1,2,9,29,0.002473210311186012
random_raw,1,2,10,2a,0.001917711439188823
random_raw,1,2,11,2b,0.0018383544574749392
random_raw,1,2,12,2c,0.0026829394771441337
random_raw,1,2,13,2d,0.00291534206644908
random_raw,1,2,14,2e,0.0027452913913479002
random_raw,1,2,15,2f,0.002393853329472127
random_raw,1,3,0,30,0.0022655342529067646
random_raw,1,3,1,31,0.002866379971597601
random_raw,1,3,2,32,0.0034785624019618494
random_raw,1,3,3,33,0.002248529185396647
random_raw,1,3,4,34,0.002889053394944425
random_raw,1,3,5,35,0.002889053394944425
random_raw,1,3,6,36,0.003291506659350551
random_raw,1,3,7,37,0.0024752634188648865
random_raw,1,3,8,38,0.003234823100983492
random_raw,1,3,9,39,0.0027133343640065393
random_raw,1,3,10,3a,0.0021578354920093502
random_raw,1,3,11,3b,0.0020784785102954664
random_raw,1,3,12,3c,0.0029230635299646607
random_raw,1,3,13,3d,0.003155466119269607
random_raw,1,3,14,3e,0.0029854154441684277
random_raw,1,3,15,3f,0.002633977382292654
random_raw,1,4,0,40,0.0018326345520472218
random_raw,1,4,1,41,0.0024334802707380583
random_raw,1,4,2,42,0.0030456627011023066
random_raw,1,4,3,43,0.0018156294845371038
random_raw,1,4,4,44,0.0024561536940848824
random_raw,1,4,5,45,0.0024561536940848824
random_raw,1,4,6,46,0.0028586069584910084
random_raw,1,4,7,47,0.0020423637180053437
random_raw,1,4,8,48,0.002801923400123949
random_raw,1,4,9,49,0.0022804346631469965
random_raw,1,4,10,4a,0.0017249357911498075
random_raw,1,4,11,4b,0.0016455788094359236
random_raw,1,4,12,4c,0.002490163829105118
random_raw,1,4,13,4d,0.0027225664184100645
random_raw,1,4,14,4e,0.002552515743308885
random_raw,1,4,15,4f,0.0022010776814331114
random_raw,1,5,0,50,0.0015282519498803564
random_raw,1,5,1,51,0.002129097668571193
random_raw,1,5,2,52,0.0027412800989354415
random_raw,1,5,3,53,0.0015112468823702385
random_raw,1,5,4,54,0.0021517710919180173
random_raw,1,5,5,55,0.002151771091918017
random_raw,1,5,6,56,0.0025542243563241433
random_raw,1,5,7,57,0.0017379811158384783
random_raw,1,5,8,58,0.0024975407979570836
random_raw,1,5,9,59,0.0019760520609801314
random_raw,1,5,10,5a,0.001420553188982942
random_raw,1,5,11,5b,0.0013411962072690583
random_raw,1,5,12,5c,0.002185781226938253
random_raw,1,5,13,5d,0.0024181838162431993
random_raw,1,5,14,5e,0.0022481331411420193
random_raw,1,5,15,5f,0.0018966950792662462
random_raw,1,6,0,60,0.0018393986098731525
random_raw,1,6,1,61,0.002440244328563989
random_raw,1,6,2,62,0.0030524267589282375
random_raw,1,6,3,63,0.0018223935423630345
random_raw,1,6,4,64,0.0024629177519108134
random_raw,1,6,5,65,0.0024629177519108134
random_raw,1,6,6,66,0.0028653710163169394
random_raw,1,6,7,67,0.0020491277758312746
random_raw,1,6,8,68,0.0028086874579498797
random_raw,1,6,9,69,0.002287198720972927
random_raw,1,6,10,6a,0.0017316998489757382
random_raw,1,6,11,6b,0.0016523428672618543
random_raw,1,6,12,6c,0.002496927886931049
random_raw,1,6,13,6d,0.0027293304762359954
random_raw,1,6,14,6e,0.0025592798011348154
random_raw,1,6,15,6f,0.0022078417392590423
random_raw,1,7,0,70,0.001717645569006406
random_raw,1,7,1,71,0.0023184912876972425
random_raw,1,7,2,72,0.0029306737180614913
random_raw,1,7,3,73,0.001700640501496288
random_raw,1,7,4,74,0.002341164711044067
random_raw,1,7,5,75,0.0023411647110440667
random_raw,1,7,6,76,0.002743617975450193
random_raw,1,7,7,77,0.001927374734964528
random_raw,1,7,8,78,0.002686934417083133
random_raw,1,7,9,79,0.002165445680106181
random_raw,1,7,10,7a,0.0016099468081089917
random_raw,1,7,11,7b,0.001530589826395108
random_raw,1,7,12,7c,0.0023751748460643027
random_raw,1,7,13,7d,0.002607577435369249
random_raw,1,7,14,7e,0.0024375267602680687
random_raw,1,7,15,7f,0.002086088698392296
random_raw,1,8,0,80,0.001653387019660068
random_raw,1,8,1,81,0.0022542327383509044
