key_id,target_sbox,target_sbox_index,top_fraction,key_guess,key_guess_hex,sample_count,sei,chi,llr_known_model
0,S0,0,0.15,6,6,119,0.009175729115175483,17.47058823529412,-inf
0,S0,0,0.15,7,7,119,0.008752030223854247,16.663865546218485,-inf
0,S0,0,0.15,8,8,119,0.006774768731021821,12.899159663865547,-inf
0,S0,0,0.15,9,9,119,0.006068603912153096,11.554621848739494,-inf
0,S0,0,0.15,10,a,119,0.009599428006496716,18.277310924369747,-inf
0,S0,0,0.15,11,b,119,0.009740660970270461,18.54621848739496,-inf
0,S0,0,0.15,12,c,119,0.007480933549890546,14.2436974789916,-inf
0,S0,0,0.15,13,d,119,0.005503672057058118,10.478991596638657,-inf
0,S0,0,0.15,14,e,119,0.007198467622343055,13.705882352941176,-inf
0,S0,0,0.15,15,f,119,0.007763399477438036,14.781512605042021,-inf
0,S0,0,0.2,0,0,158,0.003915638519468034,9.89873417721519,-inf
0,S0,0,0.2,1,1,158,0.007440714629065854,18.81012658227848,-inf
0,S0,0,0.2,2,2,158,0.008161752924210864,20.632911392405063,-inf
0,S0,0,0.2,3,3,158,0.00431621535010415,10.91139240506329,-inf
0,S0,0,0.2,4,4,158,0.00559806120813972,14.151898734177212,-inf
0,S0,0,0.2,5,5,158,0.0031144848581958016,7.873417721518987,-inf
0,S0,0,0.2,6,6,158,0.0065594456016663995,16.582278481012658,-inf
0,S0,0,0.2,7,7,158,0.0077611760935747485,19.620253164556964,-inf
0,S0,0,0.2,8,8,158,0.004236099983976928,10.708860759493673,-inf
0,S0,0,0.2,9,9,158,0.006479330235539177,16.37974683544304,-inf
0,S0,0,0.2,10,a,158,0.007921406825829194,20.025316455696203,-inf
0,S0,0,0.2,11,b,158,0.0065594456016663995,16.582278481012658,-inf
0,S0,0,0.2,12,c,158,0.0049571382791219355,12.531645569620252,-inf
0,S0,0,0.2,13,d,158,0.003995753885595257,10.10126582278481,-inf
0,S0,0,0.2,14,e,158,0.004476446082358596,11.31645569620253,-inf
0,S0,0,0.2,15,f,158,0.004716792180740266,11.924050632911392,-inf
0,S0,0,0.3,0,0,238,0.0028908622272438376,11.008403361344534,-inf
0,S0,0,0.3,1,1,238,0.006916001694795566,26.336134453781515,-inf
0,S0,0,0.3,2,2,238,0.00483281547913283,18.403361344537814,-inf
0,S0,0,0.3,3,3,238,0.003455794082338817,13.159663865546216,-inf
0,S0,0,0.3,4,4,238,0.0073397005861168,27.949579831932777,-inf
0,S0,0,0.3,5,5,238,0.003950109455546924,15.042016806722687,-inf
0,S0,0,0.3,6,6,238,0.005538980298001553,21.092436974789912,-inf
0,S0,0,0.3,7,7,238,0.006845385212908691,26.067226890756295,-inf
0,S0,0,0.3,8,8,238,0.0016903820351670076,6.436974789915965,-inf
0,S0,0,0.3,9,9,238,0.003561718805169127,13.563025210084035,-inf
0,S0,0,0.3,10,a,238,0.00631576159875715,24.050420168067227,-inf
0,S0,0,0.3,11,b,238,0.004479733069698467,17.058823529411764,-inf
0,S0,0,0.3,12,c,238,0.00483281547913283,18.403361344537814,-inf
0,S0,0,0.3,13,d,238,0.0025377798178094764,9.663865546218487,-inf
0,S0,0,0.3,14,e,238,0.004126650660264106,15.714285714285717,-inf
0,S0,0,0.3,15,f,238,0.004267883624037849,16.25210084033613,-inf
0,S0,0,0.4,0,0,317,0.0019946213018340324,10.116719242902212,-inf
0,S0,0,0.4,1,1,317,0.004920314661306212,24.95583596214511,-inf
0,S0,0,0.4,2,2,317,0.0028106310143398783,14.255520504731862,-inf
0,S0,0,0.4,3,3,317,0.0023926748201295667,12.135646687697163,-inf
0,S0,0,0.4,4,4,317,0.004661579874414116,23.643533123028394,-inf
