trace_id,key_id,session_id,plaintext_class,plaintext_hex,ciphertext_hex,global_trigger_sample,sampling_rate_hz,number_of_samples,trace_sha256
82,3,0,random,18106a1ed396eb17,be28605d9c2c2817,96,100000000.0,4288,421757413e4f27f275e2c9fc9f025b6c59e7d81e3d5055a10d74b86549d5349e
83,1,1,random,a76fdd5124a1ce09,465b9be192fa224e,96,100000000.0,4288,fddbb3fb5261ff7753298f906f27c53036aed31216307f6632eecfb6c2916056
84,0,2,random,025e05ee01c54cc9,ae81d384cf97429d,96,100000000.0,4288,514a553ff4692f4cd1f4f86c58745be22ddd3d98ca1b93a451ee31afaa39e01b
85,3,0,random,ee1107e5e727336f,2ba9da78cd92081d,96,100000000.0,4288,47cfecd9cec852a319c622be14385338b2a9bbe4ab0dd04b0de437c491fc7cbc
86,2,2,random,e6ba1e3e0b135dca,ba7fefe77383aa48,96,100000000.0,4288,46475dbb515e80a88636b281872532b74345a9e0f46eeecfeb1934086f8d68c0
87,3,3,random,d8c4052e3636952a,aa945e4698c3b5c9,96,100000000.0,4288,b9fe90a9e972eadbbc67cfe037d8834d775c2a10505b89bce799bdbfa878ee3e
88,1,2,random,31c442ddb915af15,f0e3656173ff122c,96,100000000.0,4288,c2629fa01aa9533786b9c80e0f4e51793a09dcaf627e007877b19a2065b5dd20
89,1,3,random,4b9f4d77672d56bd,5c8913fb2eb090da,96,100000000.0,4288,2282ef4bc6b9b68422242c8993d901f28a88876f36482894d554297e3bc07318
90,0,1,random,d56f13c618dae1c2,3a9bbd0a58ff3157,96,100000000.0,4288,bff2751a3f196e6b193f63e56189b05134172d298148454fe2b9b694d995e021
91,3,2,random,aee94e24e7b6db2e,09a28c323d8e5555,96,100000000.0,4288,c3bf4aa5cc970aa9a888e0fa5009a4ada2d48e56e198034e9d2a7b6e201afd56
92,2,0,walking_one,0000000000000020,a7443975a3301c7c,96,100000000.0,4288,2bb40459809d33bb83b861fd3c6c1caafe9e89d3eaae0fead2708bd9c502c46a
93,2,0,walking_zero,ffffffffffffffdf,28cce6299d134679,96,100000000.0,4288,091087d6fbc14975dc68d9c696b01af8103097ad97f80fd057a3f8f838321158
94,0,3,repeated_nibble,5555555555555555,e6ef47f6dd98ab14,96,100000000.0,4288,e513cabbba2255106781f9b9a96aedc8f6f1c948115e2f144a2ad5e65053e8dc
95,0,2,counter,b6962bd63ca40bcb,190c3cdec95d0698,96,100000000.0,4288,727d60b3816b8b11c21e159eaf18badb9a3c854214b73a9a60442553142b6bdc
96,2,3,random,ea8dc3c0e76a45c4,12f957c2f80de233,96,100000000.0,4288,0f8745296c9520735df04fd923b9851d004eedd72bd0ca385ca7a03501e28e38
97,0,0,random,c455c25ff6eeee3a,a5c090e8fd48311c,96,100000000.0,4288,928924842505ab19b0ec4d0068322dfeb76a5f92a0eec633e99ee3a841199724
98,1,0,random,82d272e6892e3ec9,8a4a2ea74d071fab,96,100000000.0,4288,037150d526ae2f3c1c17ae49560b3fd31bffbe9f59221ff8df6ac741f3954686
99,1,0,random,c7980bc0b0bb687b,54c0b128383ea71c,96,100000000.0,4288,3d10aa8bfc352a331acd59af51153973675a544d3513b04906604a229c70dcd7
