experiment_id,category,category_id,sampling_regime,target_sbox,target_sbox_index,key_id,session_id,master_key_hex,round_key_32_hex,x31_hex,x32_hex,target_original_input,target_faulted_input,impacted_sboxes,impacted_sbox_count,target_impacted,off_target_impacted,changed_sbox_input_count,fault_effective,invalid_subtype,invalid_probability,global_jitter_samples,injection_jitter_samples,model_details_json
2563,off_target,3,miss_probe,S5,5,1,0,454d5b2e2dc08ce40669,2bcb35b6,897c1069,f1ae2554,6,6,S0,1,False,True,0,False,,0.0005,-0.145588654180251,0.07553359742276813,"{""S0"": {""and_mask"": 7}}"
2564,missed,0,target_probe,S0,0,2,0,982fc83b7cc8e27ed3ed,c48bcaf1,f7818df6,8be69473,2,2,,0,False,False,0,False,,0.0005,-0.16853097647643284,-0.10649956870637572,{}
2565,missed,0,target_probe,S5,5,2,0,982fc83b7cc8e27ed3ed,c48bcaf1,e0eea236,c652eab7,13,13,,0,False,False,0,False,,0.0005,0.542556865844305,0.01815002592985753,{}
2566,clean_target_ineffective,1,target_probe,S0,0,3,0,9a12785cf0bfd7f9169e,615424b1,86303ad8,50acd8a5,4,4,S0,1,True,False,0,False,,0.000866321998824294,-0.1504867269498765,0.1785197674717217,"{""S0"": {""and_mask"": 12}}"
2567,missed,0,target_probe,S5,5,3,0,9a12785cf0bfd7f9169e,615424b1,10ac04d6,2ff77e88,10,10,,0,False,False,0,False,,0.0005138542664514007,0.04166255103854592,0.05610613938436224,{}
2568,clean_target_effective,2,target_probe,S0,0,4,0,19befa4e32aa4154e8eb,48e4d611,07a654d7,abf21241,0,4,S0,1,True,False,1,True,,0.0011340707922905765,-0.1243112508992015,-0.20185936471780366,"{""S0"": {""bit_position"": 2}}"
2569,off_target,3,target_probe,S5,5,4,0,19befa4e32aa4154e8eb,48e4d611,9dc7d975,7203c91b,14,14,S6,1,False,True,0,False,,0.0006062850769122944,0.3762698124106663,-0.17282873025354933,"{""S6"": {""and_mask"": 11}}"
2570,off_target,3,target_probe,S0,0,5,0,6ce416051079421e4d04,e3f442d9,63d8b1e8,d60c3803,10,10,S1,1,False,True,1,True,,0.0005,-0.04522888076024887,0.05872815796347314,"{""S1"": {""replacement"": 5}}"
2571,clean_target_ineffective,1,target_probe,S5,5,5,0,6ce416051079421e4d04,e3f442d9,478a33b4,19a099bb,5,5,S5,1,True,False,0,False,,0.0007099783198023218,-0.5722639591185743,0.09713431546343657,"{""S5"": {""and_mask"": 13}}"
2572,missed,0,target_probe,S0,0,6,0,b67736ff4c567a14112b,30e88f1f,5af24203,640acdab,4,4,,0,False,False,0,False,,0.0005,-0.050784693616519515,0.34446824187122704,{}
2573,off_target,3,neighbor_probe,S5,5,6,0,b67736ff4c567a14112b,30e88f1f,51ccdb16,727780e4,9,9,S4,1,False,True,1,True,,0.0008151487113541511,0.24053689226087965,0.07246514899880752,"{""S4"": {""bit_position"": 2}}"
