batch_index,campaign_arm,target_sbox,objective,recommendation_candidate_id,recommendation_rank,selection_count,mean_public_objective_score,mean_p_clean_target_ineffective,mean_p_clean_target_effective
0,guided_exploit,S0,SHFA,26008,17,18,0.0005980227946306016,0.29502172481819317,0.5263733357346314
0,guided_exploit,S0,SHFA,26123,15,17,0.0013217868489188488,0.20498512923425316,0.6465158188980045
0,guided_exploit,S0,SHFA,28331,5,31,0.0006026504485787609,0.5070903446334525,0.2737128223237289
0,guided_exploit,S0,SHFA,28367,4,22,0.0006463210232530719,0.3957491893222082,0.42438594228160315
0,guided_exploit,S0,SHFA,29110,6,14,0.0005722459481865726,0.33629633047709023,0.5107358003539042
0,guided_exploit,S0,SHFA,29275,20,18,0.0006568900575949735,0.4114472025229183,0.40831005735935727
0,guided_exploit,S0,SHFA,29412,14,14,0.0008780708224243957,0.361287255846427,0.4714865374161617
0,guided_exploit,S0,SHFA,32151,9,19,0.0005919903806201464,0.3779543119313078,0.40009600547204827
0,guided_exploit,S0,SHFA,33782,23,18,0.0005943171879493558,0.518343957333286,0.34418937870364813
0,guided_exploit,S0,SHFA,33876,1,27,0.0008733555039474715,0.31157700408058664,0.5360393709182837
0,guided_exploit,S0,SHFA,36020,21,21,0.0017549382060305973,0.2997307923016958,0.5117259241274115
0,guided_exploit,S0,SHFA,36710,3,26,0.0012402786844065417,0.40911537303019163,0.4339216134168823
0,guided_exploit,S0,SIFA,19501,14,18,0.48506534333683693,0.48506534333683693,0.16332761960133782
0,guided_exploit,S0,SIFA,20371,3,39,0.3475534722411548,0.3475534722411548,0.39086590890888434
0,guided_exploit,S0,SIFA,20436,17,9,0.0001907533980334036,0.0001907533980334036,0.9086417051903717
0,guided_exploit,S0,SIFA,21042,21,12,0.2595100398196336,0.2595100398196336,0.4450473770758571
0,guided_exploit,S0,SIFA,21575,2,42,0.36481201570280686,0.36481201570280686,0.4782166012058746
0,guided_exploit,S0,SIFA,23101,16,14,0.38565655009061967,0.38565655009061967,0.3420190377793116
0,guided_exploit,S0,SIFA,23271,18,27,0.3068660685921182,0.3068660685921182,0.468980713727657
0,guided_exploit,S0,SIFA,24094,13,17,0.4433932905562638,0.4433932905562638,0.37066530531513653
0,guided_exploit,S0,SIFA,24614,23,24,0.3793703301698068,0.3793703301698068,0.40157589382053055
0,guided_exploit,S0,SIFA,24853,15,16,0.3830712508117746,0.3830712508117746,0.45120180276921457
0,guided_exploit,S0,SIFA,25636,11,18,0.3259967895434362,0.3259967895434362,0.4108892427764152
0,guided_exploit,S0,SIFA,28652,12,12,0.31242211589731955,0.31242211589731955,0.5449076982312696
0,guided_exploit,S0,SIFA,29272,22,19,0.3840034848211203,0.3840034848211203,0.36440718956380547
0,guided_exploit,S0,SIFA,29287,4,19,0.3534487229087408,0.3534487229087408,0.42325150716580645
0,guided_exploit,S0,SIFA,30863,10,16,0.38910747382142485,0.38910747382142485,0.399370641888601
0,guided_exploit,S0,SIFA,32948,24,15,0.24003504645314258,0.24003504645314258,0.4308600919310563
0,guided_exploit,S0,SIFA,32984,9,20,0.31529032161508164,0.31529032161508164,0.535542226358621
0,guided_exploit,S0,SIFA,33176,6,29,0.20641235209765466,0.20641235209765466,0.49206997917033396
