rank,score,first_center_sample,spacing_samples,mean_center_specificity,minimum_center_specificity,mean_prominence
98,9.530561070660958,4065,13,10.165359988586543,-0.3443623591375776,1.0188769347133362
99,9.409600938488543,4085,6,9.945928492033465,-2.0490955851889097,0.7853958026154688
100,9.406947893311553,4086,6,10.022455852950849,-1.9059929450186115,0.21830556007831947
101,9.40494008942878,4080,12,9.662858492140392,-1.5245428248351292,2.818512697589524
102,9.312371243002241,4103,5,10.196157425418562,0.14185114719474973,-0.2573610004321321
103,9.281298891921006,4084,6,9.756140604277114,-2.0286751626036397,1.411538390846308
104,9.267622794065423,4084,10,10.573705085602066,0.14462107305309438,-4.665890134493895
105,9.229248803134102,4104,5,10.084021672493378,-0.28970369446008826,-0.42662942952677885
106,9.039113654531038,4068,11,9.75845903415848,-0.6513749295029172,-0.699397053236313
107,9.016482214674852,4082,7,9.65899681293301,-0.9937178037052365,0.4293816655118252
108,8.898434253814308,4099,5,9.658216257376676,-1.5241393084453003,0.20041581295498911
109,8.875754617336241,4108,5,9.46332329746404,-0.49394441277802326,1.4078882760880163
110,8.759417155222826,4066,13,9.501904593862122,-0.2718654062187723,0.06942532492637765
111,8.695374528474177,4081,12,8.997517133175227,-1.9226827262429884,2.816987383776124
112,8.640786822305522,4103,6,9.168453913628062,0.012120397022947954,1.0393596398551415
113,8.591648663577821,4097,7,9.396183874506505,-1.5241393084453003,-0.8013755113925783
114,8.500908254563091,4083,11,9.097695915044055,0.0159109796560713,0.6774375200562814
115,8.435575055076553,4067,13,9.243621995530196,-0.2925710365355184,-0.36930136925726487
116,8.41446284676053,4083,6,8.902117373051606,-1.592398230993609,1.4109866390533603
117,8.13017961886129,4068,13,8.92621700722994,-0.6513749295029172,-0.6535223198792837
118,8.035854892145572,4098,5,8.858808751543615,-1.4844124177225941,-0.5490318487788336
119,7.888582863641442,4095,5,8.448013111963375,-0.606482443374671,0.18163590588321452
120,7.760278529381697,4097,5,8.539074436273912,-1.5752439587722664,-0.5621534017737226
121,7.747240383185342,4085,5,8.193411594181804,-0.6303085123180707,0.8025365074887427
122,7.740586835226857,4069,13,8.478107998385042,-0.5601042151431928,-0.9349552205657901
123,7.700933963682646,4096,5,8.374757892610987,-0.9937178037052365,-0.2291884120060069
