absolute_sample,roi_relative_sample,S0_eta_squared,S0_permutation_z,S0_specificity,S1_eta_squared,S1_permutation_z,S1_specificity,S2_eta_squared,S2_permutation_z,S2_specificity,S3_eta_squared,S3_permutation_z,S3_specificity,S4_eta_squared,S4_permutation_z,S4_specificity,S5_eta_squared,S5_permutation_z,S5_specificity,S6_eta_squared,S6_permutation_z,S6_specificity,S7_eta_squared,S7_permutation_z,S7_specificity
4077,28,0.0751113559744628,4.938210758479654,6.701734737697519,0.0569719376485483,0.1139532119994385,0.31976025636733035,0.0742864304952868,0.5679474083329397,0.4931858415710473,0.049148288829973276,-0.7512235425989274,-1.0536763300167096,0.04300535679331932,-0.581168507921003,-1.4979012763544663,0.048563496983708945,-0.6456139757202998,-1.0770146545133283,0.060803339178106486,-0.08648466350371159,-0.3636425225201395,0.06464798841421658,0.41344151504317145,-0.002339030994050556
4078,29,0.14860995989789064,9.558162777745954,12.780736061067087,0.06486201443533374,0.07564528927470196,0.3083543488304654,0.05663025866528916,0.17471296145237777,0.029069496075836365,0.051050350981155124,-0.6112722919086948,-0.8504811281473311,0.06449240920551497,-0.06371960114625076,-0.5201914901623628,0.05490528584170169,-0.3486743272879357,-0.5861037116099866,0.06191558972087055,0.4226623600053553,0.5133240496393118,0.05781721679375208,0.06510230055734434,-0.48098754780044506
4079,30,0.19945711661553037,16.082867740727306,21.213439250973288,0.05745489674655767,-0.005070201413013814,0.1022514436351399,0.05391574394605482,-0.04281897660203962,-0.3961472551248931,0.06608552451779716,-0.4828917156879019,-0.6803915901632076,0.06253946987174747,0.17724981912109072,-0.027133628347412314,0.06144309808313225,-0.12313079585805459,-0.22892551161657385,0.07321015592008444,0.6840951922603071,0.8010515558799599,0.05353322748006262,-0.09566935834045212,-0.6732186933901467
4080,31,0.2850578782115839,23.15843813414312,30.42851983903574,0.05042977548659267,0.01724329969884121,0.10351050948378351,0.059803449061370854,-0.11201849656440266,-0.5213460601434045,0.04131586687595717,-0.41531077264350147,-0.6201928511940914,0.06525429022981483,0.23199460973328592,0.0458047840775622,0.06141216978344875,-0.07071199692879143,-0.17900628376722524,0.06167737319542367,0.407897614783578,0.3690547766735882,0.05879326847833739,-0.03040000627967339,-0.63642327769747
4081,32,0.36373210049480914,28.779701796129295,37.82641706724377,0.07386756993532585,0.287981631483005,0.5368870151790149,0.05989258117500915,-0.1292476638859611,-0.4370596591054866,0.0579435010365347,0.023880754581688285,0.11662816297321098,0.05117308195887167,-0.03031212668141785,-0.39966973486547286,0.05131874307080002,-0.15466301435153526,-0.20545439912391744,0.05464665735835363,-0.03269213167155102,-0.22386566694535434,0.05728734539702737,0.1862696988051331,-0.2880875311247725
4082,33,0.4279919467572586,31.790144006759423,41.7076760297325,0.06539741312176527,0.4215320507433301,0.6722513068726151,0.05845361689670021,-0.22004340752703166,-0.7295528359049451,0.07201828244774418,0.4467573302876793,0.6666735856267484,0.06021624286118228,0.04367603835071516,-0.4359582839718932,0.06297197272132467,0.15110233596377118,0.24379493838753885,0.059108453088214004,-0.420685381899795,-0.9639834354936161,0.06478603305409099,0.3776304996664656,-0.2500191397885557
4083,34,0.4139992915906007,31.421620173634274,41.210126926203635,0.06046217077766397,0.5968741179871128,0.9025964487823442,0.052231895832668795,-0.287192637836611,-0.9602726066392352,0.06457651033396801,0.43916596106734396,0.639837016875562,0.06385146596378814,0.09680356110036475,-0.4801935591925772,0.060911476176545735,0.42223896441438696,0.6725047327417772,0.047237108926908064,-0.828312962994899,-1.7013580394232362,0.06746201735396976,0.41864489301719354,-0.34846014537678055
4084,35,0.38144785593791514,27.758512886463393,36.4970595231733,0.05973205255966478,1.077204156670997,1.6507658467405242,0.054989477986732205,0.03524010051570797,-0.21544364304719418,0.06287199840710897,-0.2626587217866245,-0.29104844254295925,0.0682396008453823,-0.027982080041653562,-0.39005172500678187,0.07754218448123623,0.9137241135212275,1.5519356454273177,0.05493440112307786,-0.8877974356334968,-1.4629232213715084,0.056276931428856106,0.2311039848719671,-0.2328087990805148
4085,36,0.2616614553032066,20.48023346124179,27.041049324750958,0.08578279292787892,2.4831545648258526,3.6802621522327397,0.06447191229587954,0.5661359274701185,0.5224474654440475,0.03815067492242469,-1.1265615765429742,-1.7609107782118116,0.04886087208946745,-0.35864704755766585,-1.251725559890431,0.0623975961760774,0.8704844841470102,1.535041366758677,0.04439056563317867,-0.8451741524233762,-1.6402522183742974,0.057409058498948284,0.09280896172160429,-0.6265310789758006
4086,37,0.14108001984702212,12.557284149971595,16.768456299341405,0.10851943931639299,4.547283645745946,6.6603133191122295,0.07824994144961472,1.1864461469794227,1.4012797913194426,0.035322738930615466,-1.4734456397933193,-2.5010984823061118,0.038931245077776795,-0.5472071066539744,-1.8527008439238442,0.07352851057700598,0.6818226004193708,1.3053814641613553,0.05813199050189565,-0.34868737878836964,-1.1638978981631234,0.060481463756170306,-0.11143206448756335,-1.1006126791724524
