pipeline,experiment_id,pair_id,campaign_arm,key_id,session_id,target_sbox,target_sbox_index,p_clean_target_ineffective,healthy_ciphertext_hex
random_raw,783,391,random_uniform,0,3,S0,0,1.7845171572492066e-05,be9af39b0b2dc996
random_raw,787,393,random_uniform,0,1,S0,0,0.0021410747707793,ca2fd8a0419a6086
random_raw,789,394,random_uniform,0,2,S0,0,0.0019421521196231,c598ce31ba37b891
random_raw,803,401,random_uniform,0,1,S0,0,0.2427895672754464,0420213ff486234d
random_raw,807,403,random_uniform,0,3,S0,0,2.1978011167182824e-08,0fccb772937c0ae9
random_raw,811,405,random_uniform,0,1,S0,0,0.0158615482119253,154d6e8695a2db7a
random_raw,815,407,random_uniform,0,3,S0,0,0.3653266577181443,a5c01de6f09fb0af
random_raw,825,412,random_uniform,0,0,S0,0,3.8326175611488125e-05,23516349bc3c97a7
random_raw,829,414,random_uniform,0,2,S0,0,0.0509946540034126,e2ed93a007579e8e
random_raw,849,424,random_uniform,0,0,S0,0,0.0001617829457319,d04dd423bd765671
random_raw,861,430,random_uniform,0,2,S0,0,0.0733713801816971,3aaa9b4ad0653b62
random_raw,863,431,random_uniform,0,3,S0,0,0.0068141882618242,c89629fe13a39562
random_raw,887,443,random_uniform,0,3,S0,0,0.4154443928416021,1239578ff63afe57
random_raw,889,444,random_uniform,0,0,S0,0,1.7910097521331794e-07,2296b775abe8f582
random_raw,891,445,random_uniform,0,1,S0,0,6.86745280651172e-05,d51d8bd69f358686
random_raw,895,447,random_uniform,0,3,S0,0,1.7683863441899556e-09,9bce2e4f1b8be47f
random_raw,897,448,random_uniform,0,0,S0,0,0.0441925341370843,2436693e4da556ef
random_raw,899,449,random_uniform,0,1,S0,0,0.0001613378817885,9aa290ae8f353812
random_raw,933,466,random_uniform,0,2,S0,0,2.2890579454521924e-06,f4e66de5ce2f28e0
random_raw,937,468,random_uniform,0,0,S0,0,0.004936819436156,febb8a23772049e5
random_raw,947,473,random_uniform,0,1,S0,0,1.5281924146982135e-06,43eb50254119c5b8
random_raw,953,476,random_uniform,0,0,S0,0,0.0153420591449038,1c6ffb1c48a02814
random_raw,963,481,random_uniform,0,1,S0,0,5.453082409178753e-05,e34da20974651b10
random_raw,965,482,random_uniform,0,2,S0,0,4.537258712244073e-05,54a3d02beff672ba
random_raw,971,485,random_uniform,0,1,S0,0,0.0102872185264591,c2a4b6faad81ff2b
random_raw,987,493,random_uniform,0,1,S0,0,0.2300041495980973,40e16cfb4aacc2a9
random_raw,995,497,random_uniform,0,1,S0,0,8.934271085342036e-06,fd53b638efb7964e
random_raw,1001,500,random_uniform,0,0,S0,0,0.2313513168401642,baba7e9080ed07ea
random_raw,1003,501,random_uniform,0,1,S0,0,0.1707865993174717,3f3d0f7df142d2c7
random_raw,1037,518,random_uniform,0,2,S0,0,4.226706529826324e-09,4ff468bb95492ce8
random_raw,1043,521,random_uniform,0,1,S0,0,0.0054927016287986,61f2398f902193de
random_raw,1053,526,random_uniform,0,2,S0,0,0.7158676189153745,2e86dfb32684807c
random_raw,1055,527,random_uniform,0,3,S0,0,4.040300029727909e-09,63fbbc930337848f
random_raw,1059,529,random_uniform,0,1,S0,0,0.0003598983312161,99e98c8b299f2aec
random_raw,1071,535,random_uniform,0,3,S0,0,6.090740065055103e-05,e1f0823578a8171e
random_raw,1073,536,random_uniform,0,0,S0,0,0.1139489405498843,a59c8000a0c6fba8
random_raw,1075,537,random_uniform,0,1,S0,0,3.242039146115327e-05,dd3d77254c344057
random_raw,1077,538,random_uniform,0,2,S0,0,6.66685456312441e-05,c5670e607d80fba4
random_raw,1087,543,random_uniform,0,3,S0,0,0.6663517486969175,422b4e029cb61bfc
random_raw,1101,550,random_uniform,0,2,S0,0,0.5069650593463216,dea2d3859dd41f98
random_raw,1121,560,random_uniform,0,0,S0,0,0.0206961091571002,7e28c8eb4d1a2c25
random_raw,1125,562,random_uniform,0,2,S0,0,1.237163937383215e-06,9f7448bde521c1f7
random_raw,1127,563,random_uniform,0,3,S0,0,0.0035767613458784,2136904fdf9778e6
random_raw,1151,575,random_uniform,0,3,S0,0,0.448191854333546,2ad4e7d465118f97
random_raw,1153,576,random_uniform,0,0,S0,0,0.0038045349207526,3f4d91b4c15cc484
random_raw,1171,585,random_uniform,0,1,S0,0,2.6878478501284902e-09,32cb24408013d8a1
random_raw,1173,586,random_uniform,0,2,S0,0,0.7729138740291647,dbf4804d0e20bad1
random_raw,1193,596,random_uniform,0,0,S0,0,0.1535578548127592,670192281d3ac290
random_raw,1201,600,random_uniform,0,0,S0,0,0.2378655938366182,21ff87f7ecf92109
random_raw,1205,602,random_uniform,0,2,S0,0,0.0253165683782173,91405969c18db2d2
random_raw,1209,604,random_uniform,0,0,S0,0,0.0017036387559847,a5b77b344748187c
random_raw,1213,606,random_uniform,0,2,S0,0,0.0002197546665407,a9827b8152c54231
random_raw,1215,607,random_uniform,0,3,S0,0,0.0012979239868328,e32bb01506b6322d
random_raw,1219,609,random_uniform,0,1,S0,0,0.0015627182847444,1d1c52a023f5b210
random_raw,1221,610,random_uniform,0,2,S0,0,0.0001537379411018,359003a1c012d659
random_raw,1223,611,random_uniform,0,3,S0,0,0.0001677859419509,233ada25da59eb6c
random_raw,1245,622,random_uniform,0,2,S0,0,8.799081309526343e-05,1812f5f0f6f296c6
random_raw,1253,626,random_uniform,0,2,S0,0,0.326272405099205,fe837877277147c6
random_raw,1255,627,random_uniform,0,3,S0,0,0.1192806548907081,f1d57376161b8131
random_raw,1269,634,random_uniform,0,2,S0,0,8.71777371996862e-07,22b99ee8d8c9c596
random_raw,1271,635,random_uniform,0,3,S0,0,0.0025137827652891,0fd3d266ac224eb2
random_raw,1275,637,random_uniform,0,1,S0,0,0.0007980068011244,b461d51997a1036d
random_raw,1283,641,random_uniform,0,1,S0,0,3.247926745130368e-05,9d904749e4b9e1d2
random_raw,1289,644,random_uniform,0,0,S0,0,0.0859402941347184,847a2536df335a2b
random_raw,1311,655,random_uniform,0,3,S0,0,0.0002860285131246,f018d8a06d76ef83
random_raw,1313,656,random_uniform,0,0,S0,0,0.0005153672855496,cedb949ab228e83d
random_raw,1317,658,random_uniform,0,2,S0,0,6.827869573041941e-06,23fdcd02daf8beee
random_raw,1323,661,random_uniform,0,1,S0,0,0.1578831101754814,bc8bdb9fe0dc5d61
