campaign_arm,key_id,target_sbox,target_sbox_index,top_fraction,key_guess,key_guess_hex,sample_count,sei,chi
random_uniform,0,S5,5,0.65,2,2,395,0.0012397852908187794,7.835443037974686
random_uniform,0,S5,5,0.65,3,3,395,0.0025216311488543506,15.936708860759495
random_uniform,0,S5,5,0.65,4,4,395,0.0030728248678096462,19.420253164556964
random_uniform,0,S5,5,0.65,5,5,395,0.0015987021310687392,10.103797468354433
random_uniform,0,S5,5,0.65,6,6,395,0.0025857234417561293,16.341772151898738
random_uniform,0,S5,5,0.65,7,7,395,0.0019191635955776323,12.129113924050637
random_uniform,0,S5,5,0.65,8,8,395,0.001355151418041981,8.56455696202532
random_uniform,0,S5,5,0.65,9,9,395,0.002188351225765102,13.830379746835446
random_uniform,0,S5,5,0.65,10,a,395,0.0022011696843454577,13.911392405063292
random_uniform,0,S5,5,0.65,11,b,395,0.001034689953533088,6.539240506329117
random_uniform,0,S5,5,0.65,12,c,395,0.0019191635955776321,12.129113924050635
random_uniform,0,S5,5,0.65,13,d,395,0.0015858836724883837,10.022784810126586
random_uniform,0,S5,5,0.65,14,e,395,0.0015089729210062495,9.536708860759497
random_uniform,0,S5,5,0.65,15,f,395,0.0032779202050953376,20.716455696202534
random_uniform,0,S5,5,0.8,0,0,486,0.002539204728276516,19.744855967078188
random_uniform,0,S5,5,0.8,1,1,486,0.001413021389015902,10.987654320987653
random_uniform,0,S5,5,0.8,2,2,486,0.0010065792816135754,7.827160493827162
random_uniform,0,S5,5,0.8,3,3,486,0.002048087181832038,15.925925925925926
random_uniform,0,S5,5,0.8,4,4,486,0.001954944198885671,15.201646090534979
random_uniform,0,S5,5,0.8,5,5,486,0.0013876187573032565,10.790123456790123
random_uniform,0,S5,5,0.8,6,6,486,0.002192035428203695,17.045267489711932
random_uniform,0,S5,5,0.8,7,7,486,0.0018363985842266594,14.279835390946504
random_uniform,0,S5,5,0.8,8,8,486,0.0013283459499737508,10.329218106995887
random_uniform,0,S5,5,0.8,9,9,486,0.0018787363037477353,14.609053497942389
random_uniform,0,S5,5,0.8,10,a,486,0.002115827533065759,16.45267489711934
random_uniform,0,S5,5,0.8,11,b,486,0.0014384240207285476,11.185185185185185
random_uniform,0,S5,5,0.8,12,c,486,0.0008456959474334876,6.5761316872428
random_uniform,0,S5,5,0.8,13,d,486,0.0010743196328472963,8.353909465020577
random_uniform,0,S5,5,0.8,14,e,486,0.0013029433182611052,10.131687242798353
random_uniform,0,S5,5,0.8,15,f,486,0.0017178529695676477,13.358024691358029
random_uniform,0,S5,5,1.0,0,0,608,0.0031542157202216073,30.684210526315795
random_uniform,0,S5,5,1.0,1,1,608,0.0012010907202216069,11.684210526315791
random_uniform,0,S5,5,1.0,2,2,608,0.0010874740304709142,10.578947368421053
random_uniform,0,S5,5,1.0,3,3,608,0.001644736842105263,16.0
random_uniform,0,S5,5,1.0,4,4,608,0.0013634002770083102,13.263157894736842
random_uniform,0,S5,5,1.0,5,5,608,0.0017042503462603878,16.57894736842105
random_uniform,0,S5,5,1.0,6,6,608,0.0020667416897506927,20.10526315789474
random_uniform,0,S5,5,1.0,7,7,608,0.0014499653739612189,14.105263157894736
random_uniform,0,S5,5,1.0,8,8,608,0.0012389629501385047,12.052631578947373
random_uniform,0,S5,5,1.0,9,9,608,0.0016014542936288092,15.578947368421055
random_uniform,0,S5,5,1.0,10,a,608,0.0014337344182825482,13.94736842105263
random_uniform,0,S5,5,1.0,11,b,608,0.0014553756925207758,14.157894736842108
random_uniform,0,S5,5,1.0,12,c,608,0.00106042243767313,10.315789473684209
random_uniform,0,S5,5,1.0,13,d,608,0.0007033414127423822,6.842105263157894
random_uniform,0,S5,5,1.0,14,e,608,0.0014391447368421054,14.000000000000002
random_uniform,0,S5,5,1.0,15,f,608,0.0018611495844875346,18.105263157894736
random_uniform,1,S0,0,0.05,0,0,38,0.01644736842105263,10.0
random_uniform,1,S0,0,0.05,1,1,38,0.019217451523545703,11.684210526315788
random_uniform,1,S0,0,0.05,2,2,38,0.026142659279778394,15.894736842105264
random_uniform,1,S0,0,0.05,3,3,38,0.02060249307479224,12.526315789473683
random_uniform,1,S0,0,0.05,4,4,38,0.028912742382271466,17.57894736842105
random_uniform,1,S0,0,0.05,5,5,38,0.015062326869806093,9.157894736842104
random_uniform,1,S0,0,0.05,6,6,38,0.012292243767313018,7.473684210526315
random_uniform,1,S0,0,0.05,7,7,38,0.021987534626038776,13.368421052631575
random_uniform,1,S0,0,0.05,8,8,38,0.023372576177285317,14.210526315789473
random_uniform,1,S0,0,0.05,9,9,38,0.03722299168975069,22.63157894736842
random_uniform,1,S0,0,0.05,10,a,38,0.028912742382271466,17.57894736842105
random_uniform,1,S0,0,0.05,11,b,38,0.016447368421052627,9.999999999999996
random_uniform,1,S0,0,0.05,12,c,38,0.027527700831024925,16.736842105263154
random_uniform,1,S0,0,0.05,13,d,38,0.023372576177285314,14.21052631578947
random_uniform,1,S0,0,0.05,14,e,38,0.023372576177285317,14.210526315789473
random_uniform,1,S0,0,0.05,15,f,38,0.02198753462603878,13.368421052631579
random_uniform,1,S0,0,0.075,0,0,58,0.01716706302021403,15.931034482758621
random_uniform,1,S0,0,0.075,1,1,58,0.015978002378121286,14.827586206896553
random_uniform,1,S0,0,0.075,2,2,58,0.020734244946492272,19.24137931034483
random_uniform,1,S0,0,0.075,3,3,58,0.020734244946492272,19.24137931034483
random_uniform,1,S0,0,0.075,4,4,58,0.027868608799048754,25.862068965517242
random_uniform,1,S0,0,0.075,5,5,58,0.010627229488703926,9.862068965517244
random_uniform,1,S0,0,0.075,6,6,58,0.010032699167657554,9.31034482758621
random_uniform,1,S0,0,0.075,7,7,58,0.013005350772889418,12.06896551724138
random_uniform,1,S0,0,0.075,8,8,58,0.01359988109393579,12.620689655172415
random_uniform,1,S0,0,0.075,9,9,58,0.026679548156956005,24.75862068965517
random_uniform,1,S0,0,0.075,10,a,58,0.020734244946492272,19.24137931034483
random_uniform,1,S0,0,0.075,11,b,58,0.01359988109393579,12.620689655172415
random_uniform,1,S0,0,0.075,12,c,58,0.01478894173602854,13.724137931034486
random_uniform,1,S0,0,0.075,13,d,58,0.01716706302021403,15.931034482758621
random_uniform,1,S0,0,0.075,14,e,58,0.02489595719381689,23.103448275862075
random_uniform,1,S0,0,0.075,15,f,58,0.014194411414982164,13.172413793103448
random_uniform,1,S0,0,0.1,0,0,77,0.011542840276606509,14.22077922077922
random_uniform,1,S0,0,0.1,1,1,77,0.013904115365154325,17.129870129870127
random_uniform,1,S0,0,0.1,2,2,77,0.015928065441052453,19.623376623376622
random_uniform,1,S0,0,0.1,3,3,77,0.015590740428402765,19.207792207792206
random_uniform,1,S0,0,0.1,4,4,77,0.020313290605498396,25.025974025974023
random_uniform,1,S0,0,0.1,5,5,77,0.008506915162759318,10.480519480519481
random_uniform,1,S0,0,0.1,6,6,77,0.01154284027660651,14.220779220779221
random_uniform,1,S0,0,0.1,7,7,77,0.00783226513745994,9.649350649350646
random_uniform,1,S0,0,0.1,8,8,77,0.00985621521335807,12.142857142857142
random_uniform,1,S0,0,0.1,9,9,77,0.01930131556754933,23.779220779220775
random_uniform,1,S0,0,0.1,10,a,77,0.018626665542249954,22.948051948051944
random_uniform,1,S0,0,0.1,11,b,77,0.012217490301905887,15.051948051948052
random_uniform,1,S0,0,0.1,12,c,77,0.010193540226007759,12.558441558441558
random_uniform,1,S0,0,0.1,13,d,77,0.008506915162759318,10.480519480519481
random_uniform,1,S0,0,0.1,14,e,77,0.017614690504300888,21.701298701298693
random_uniform,1,S0,0,0.1,15,f,77,0.008844240175409007,10.896103896103895
random_uniform,1,S0,0,0.15,0,0,115,0.005174858223062382,9.521739130434783
random_uniform,1,S0,0,0.15,1,1,115,0.011224007561436673,20.652173913043477
random_uniform,1,S0,0,0.15,2,2,115,0.011224007561436674,20.65217391304348
random_uniform,1,S0,0,0.15,3,3,115,0.011828922495274105,21.765217391304354
random_uniform,1,S0,0,0.15,4,4,115,0.010165406427221173,18.70434782608696
random_uniform,1,S0,0,0.15,5,5,115,0.006838374291115313,12.582608695652176
random_uniform,1,S0,0,0.15,6,6,115,0.008804347826086956,16.2
random_uniform,1,S0,0,0.15,7,7,115,0.00804820415879017,14.808695652173913
random_uniform,1,S0,0,0.15,8,8,115,0.010316635160680529,18.982608695652175
random_uniform,1,S0,0,0.15,9,9,115,0.015609640831758035,28.721739130434784
random_uniform,1,S0,0,0.15,10,a,115,0.01303875236294896,23.991304347826087
random_uniform,1,S0,0,0.15,11,b,115,0.008350661625708885,15.365217391304348
random_uniform,1,S0,0,0.15,12,c,115,0.008653119092627597,15.92173913043478
random_uniform,1,S0,0,0.15,13,d,115,0.009409262759924385,17.31304347826087
random_uniform,1,S0,0,0.15,14,e,115,0.00638468809073724,11.747826086956522
random_uniform,1,S0,0,0.15,15,f,115,0.0066871455576559555,12.304347826086959
random_uniform,1,S0,0,0.2,0,0,154,0.006229971327373925,15.35064935064935
random_uniform,1,S0,0,0.2,1,1,154,0.009940546466520492,24.493506493506494
random_uniform,1,S0,0,0.2,2,2,154,0.009940546466520494,24.493506493506498
random_uniform,1,S0,0,0.2,3,3,154,0.0063143025805363455,15.558441558441555
random_uniform,1,S0,0,0.2,4,4,154,0.010783858998144713,26.571428571428573
random_uniform,1,S0,0,0.2,5,5,154,0.004037358745150953,9.948051948051948
random_uniform,1,S0,0,0.2,6,6,154,0.00555532130207455,13.68831168831169
random_uniform,1,S0,0,0.2,7,7,154,0.005470990048912128,13.480519480519483
