experiment_id,target_sbox,target_sbox_index,key_id,session_id,source_healthy_trace_id,fault_model,nominal_target_center_sample,timing_offset_samples,first_pulse_nominal_sample,width_samples,strength,repeat,repeat_spacing_samples,plaintext_hex,healthy_ciphertext_hex,response_received,faulty_ciphertext_hex,ciphertext_equal,ciphertext_hamming_distance,trace_mean,trace_std,trace_peak_to_peak,trace_max_absolute,trace_high_frequency_energy,target_window_energy,pulse_window_energy,saturation_fraction
10722,S0,0,1,2,944,random_and_4,4083.0,-23.22013218684653,4059.7798678131535,1.1268258560435522,0.34161332493181634,1,1.0959406080880256,fe87988ca6fb8345,68fed68976d4deab,True,68fed68976d4deab,True,0,0.33521492482238524,1.0604616586021183,5.681116223335266,3.9001054763793945,0.6898976368878628,1.9758081843855704,0.3608683019513792,0.0
10723,S5,5,1,2,394,single_bit_flip,4128.0,26.641461595730963,4154.641461595731,1.122847708365671,0.17957676149491963,1,1.7670143927815993,68eb5de1db0c6702,35b95d8b840cf31f,True,35b95d8b840cf31f,True,0,0.09751053470363086,0.9595504399341143,4.682666063308716,2.4556884765625,0.9084125618297418,1.5164863774081823,0.589708134106634,0.0
10724,S0,0,2,2,617,random_and_4,4083.0,-2.6982708497925243,4080.3017291502074,3.136829293489524,0.5040892857031489,1,2.585929968965388,cd127abe1f36e4f2,d83b433f8f3738e2,True,d83b433f8f373ce2,False,1,0.1055360303348484,0.9403026936212321,4.480952978134155,2.276118755340576,0.8143706707813068,1.0247965737493006,1.0595466281110277,0.0
10725,S5,5,2,2,614,random_and_2,4128.0,-2.7887786443120826,4125.2112213556875,1.4161217204912089,0.7129159216719724,2,2.9298636812956786,5c1b8fdfc4222fac,240c9ac6285fcee8,True,240c9ac6285fcee8,True,0,0.0842567447752289,0.9451229182574491,5.637424945831299,3.134932518005371,1.3225501354967633,1.610307181586913,1.6203227636086275,0.0
10726,S0,0,3,2,548,random_and_2,4083.0,-1.0117689899392,4081.9882310100606,3.9791636559969756,0.3931623321900051,1,2.485296223755055,af04ddb094fbb018,5d1461a82fce9dc2,True,5d1461a82fce96c2,False,3,-0.059305428344806704,1.1693823087074238,5.432744026184082,2.7359533309936523,1.9952011632210427,1.561909920746425,1.8708861801542933,0.0
10727,S5,5,3,2,211,random_and_4,4128.0,3.3634537210072057,4131.363453721007,3.116298056870508,0.6229579989805858,1,4.297470565430158,c9667dea3914bf4a,b58aa0a960c1223b,True,b58aa0a960c1223b,True,0,-0.014085798354416684,1.0064716642895908,4.8054962158203125,2.663971424102783,0.8658993908119443,1.7252066047208878,0.5031498054497945,0.0
10728,S0,0,4,2,931,random_and_4,4083.0,2.9808235482892265,4085.980823548289,3.160528449351273,0.8254592829051592,1,3.3825181111289973,54272978a6647c81,5482206ce445c6ca,True,5482206cd445c9ca,False,6,-0.04907028574647533,1.2972314192975203,7.573505401611328,4.026116847991943,1.136270332394729,3.3333733661054237,2.9557121649779217,0.006756756756756757
10729,S5,5,4,2,649,single_bit_flip,4128.0,-0.5735876661365227,4127.4264123338635,2.230096745230429,0.7202892440123085,1,3.311557356941556,4cfde8e4f693558c,56e0a51b675b3396,True,56e0a51b67523396,False,2,-0.021682113734690624,0.9654569666100956,5.436568975448608,3.372614622116089,1.076627491543399,3.4322061895269864,4.547258776613864,0.0
10730,S0,0,5,2,763,random_and_4,4083.0,3.794936667658712,4086.794936667659,2.0372861226878407,0.4402604974446397,2,2.237503720999968,e4631b55b50d3172,3e6b071007e658ff,True,3e6b071007e658fa,False,2,0.03134884866508278,0.8392211922310797,4.146114945411682,2.1993825435638428,0.5812389791127605,0.5020188825381829,0.839753924388053,0.0
10731,S5,5,5,2,491,random_and_2,4128.0,-2.377518152013714,4125.622481847986,1.111630614319457,0.3491289578132836,1,3.229879664226773,0461c2280d87be9c,7abde5552372fcb5,True,7abde5552372fcb5,True,0,0.00026660004152438124,1.1099969159019294,5.432877779006958,2.845083713531494,2.0107876839081706,1.1062066252867035,1.681428959244372,0.0
10732,S0,0,6,2,768,single_bit_flip,4083.0,-0.9424338811579318,4082.0575661188423,1.6830365112585697,0.30043990257669306,1,4.673785391730473,a8e31b500ffc823c,6ec7cff054e8a103,True,6ec7cff054e8af03,False,3,-0.00445488586744948,0.9150470645086393,4.348121881484985,2.1752448081970215,1.0704488625577149,0.40302904669669926,0.39367879758342084,0.0
10733,S5,5,6,2,701,random_and_4,4128.0,-9.325541764365944,4118.674458235634,2.252683486555549,1.0339037779771973,1,4.843284477218575,93484991ee4535c7,ea2faf15411138ab,True,ea2faf15431138ab,False,1,0.07954849663970841,1.0548314116711608,4.971542835235596,2.6856963634490967,0.8163283946234241,0.870291494231063,1.1114821376322042,0.0
10734,S0,0,7,2,431,random_and_2,4083.0,8.091830313461703,4091.0918303134617,4.013542326616729,0.8669550388632473,1,2.6563734578414007,2cbca672067bebf8,838b6ef5a359f329,True,838b6ef5a359f328,False,1,0.11442907168404073,1.42643381925669,9.213336944580078,5.087264537811279,1.4461614068427007,2.731338989167145,1.947949097392205,0.02702702702702703
10735,S5,5,7,2,728,random_and_4,4128.0,-7.9027343328809785,4120.097265667119,3.384098453556356,0.9236647263628687,2,5.2759376626001355,6c090e438d29a615,96b43d543cb2dac8,True,96b43d5435b2dac8,False,2,-0.013219210149317578,1.1634379968515516,6.717910289764404,3.48222279548645,2.1606876488900824,1.1307049656783894,2.470139778325202,0.0
10736,S0,0,0,3,513,random_and_4,4083.0,4.075223754313935,4087.075223754314,7.365177134965002,0.5679252750204277,1,5.060797707706032,b123f045d06d7fc1,12407a96694c7bc6,True,12407a96694c7bc6,True,0,0.044556656695046534,0.9562704765170233,4.265875577926636,2.352994203567505,1.342025156292886,1.0819978632985274,1.8302362476763734,0.0
10737,S5,5,0,3,650,random_nibble,4128.0,4.988401877356944,4132.988401877357,13.321552147913835,0.7570912462215682,3,6.88113309528844,e9728fb0244c2ffb,b377b1792cc07d37,False,,,-1,0.17122740272945422,0.9127838223460695,5.162756443023682,3.0691134929656982,0.7627378629378719,3.2924648559275287,1.8934548151837058,0.0
10738,S0,0,1,3,828,random_and_4,4083.0,2.929718273574524,4085.9297182735745,16.839056778166047,1.4901667308736046,4,4.284202526101646,34ebd8116db7e69c,7e256ad24404a11a,False,,,-1,0.3977930013305111,0.8672994020490928,4.434725642204285,3.5573203563690186,0.4432045667842283,3.6640957010479593,4.3919485423044815,0.0
10739,S5,5,1,3,583,random_and_4,4128.0,-1.8206194528488666,4126.179380547151,15.634244053136356,1.1329941414451157,4,8.60765604206295,973853f074b54b99,bc9611550dc327bf,False,,,-1,-1.9750223762255061,2.5725658603925,8.645010948181152,4.84850549697876,0.782783705396729,14.371386451317482,18.848879768832834,0.4594594594594595
10740,S0,0,2,3,704,random_and_4,4083.0,19.777925905168832,4102.777925905169,0.9201348490220344,0.23672400579821568,1,1.9374861912806371,f9d194e0261bc503,027ef5fcc7661a4d,True,027ef5fcc766aa4d,False,3,0.03498591506237013,0.8939730534477887,3.9268792867660522,2.1096277236938477,1.2936623678570538,0.8557844791171306,0.851637116797508,0.0
10741,S5,5,2,3,506,random_and_4,4128.0,-26.327514973188983,4101.672485026811,1.290811756424172,0.215654797937684,1,1.0396915064820005,3cef410e407294b2,8c7574cc62e18e62,True,8c7574cc62e18e62,True,0,0.11677485223658182,1.0342554080613806,5.480763912200928,3.068868398666382,1.1026047277028275,0.5219871187794992,2.6379809248953254,0.0
10742,S0,0,3,3,915,random_and_4,4083.0,28.512795581715924,4111.512795581716,1.344637909441642,0.34467735007483535,1,1.6087228637689661,0f5e240b39bbb78f,a7c44118d8761a2a,True,a7c44118d8761a6a,False,1,0.23702223211797457,1.2346809520322592,6.767977714538574,4.1874589920043945,1.5103233857914555,2.056657179381557,0.6512020730073442,0.006756756756756757
10743,S5,5,3,3,62,random_and_4,4128.0,-29.944006962335983,4098.055993037664,0.9468325503733483,0.27234271341189004,1,2.726066895753055,0994b8d7de52737e,e5fe807816989d02,True,e5fe807816987d02,False,3,0.15126744254548857,1.1788775120990438,6.182281970977783,3.80391263961792,1.2796698177876358,1.300008556583052,3.558081498818267,0.0
10744,S0,0,4,3,24,single_bit_flip,4083.0,-4.569864217622468,4078.4301357823774,4.377658833475516,0.8873110989844666,1,2.10258707783676,a57567394161e1a5,805da3dd3aa8ec9f,True,805da3dd3aa8ec9f,True,0,0.08591962020491829,0.9224109064197907,4.9473512172698975,2.7015795707702637,0.732054304369704,1.7367982405338906,1.8345970746483433,0.0
10745,S5,5,4,3,630,stuck_at_bit,4128.0,2.155740478410511,4130.155740478411,1.5933568910636535,0.7147628859581234,2,4.107191185974253,25724edbd2ec39f7,f7c51c86dde327a2,True,f7c51c867dea37a2,False,5,0.07478143512019636,0.9575633983914894,4.7265119552612305,2.5493416786193848,1.3198097801962503,1.8986088849738605,1.525291833410069,0.0
10746,S0,0,5,3,763,random_and_4,4083.0,-1.1080261485823986,4081.891973851418,2.801500332739196,0.9693749790315636,1,2.7921904098327195,795d0a2f85c82676,a0d40454bcad9f3e,True,a0d40454bcad973e,False,1,0.08572795576843861,0.941080259803712,4.702116012573242,2.36466121673584,0.7100609604163773,1.1361609669716488,1.273030885209931,0.0
10747,S5,5,5,3,267,random_and_4,4128.0,-4.837922968774347,4123.162077031226,2.6177900876003495,0.8691208392863845,1,4.99046908802063,a235a216d660a4e4,bd30dfd392671646,True,bd30dfd392671646,True,0,0.12600454353299495,0.9732645603854454,4.505726099014282,2.850404977798462,1.1614387323058122,0.7611364960352663,1.0478584847262837,0.0
10748,S0,0,6,3,109,random_and_4,4083.0,-0.4757884214761363,4082.524211578524,3.803272660569623,0.49243065771891625,1,2.77378376667862,3c70462f3ff8b8dc,ae99fc2a5b5bf678,True,ae99fc2a5b5bf678,True,0,0.1399598378889464,0.90210564893697,3.8889790773391724,2.316317319869995,0.7983072155773452,1.55647396833421,1.9400797233428064,0.0
10749,S5,5,6,3,777,random_and_4,4128.0,-3.4287816633661037,4124.571218336634,1.9817173030982653,1.055248293917962,2,3.295713060897103,089d2588e8b00563,8bbf4077ed2d76dd,True,8bbf4077ed2d76dd,True,0,-0.045404265697642755,1.1477061370866388,6.293807506561279,3.6894357204437256,1.339326237252937,1.6971005774587196,1.5156387380406835,0.0
